HRT (-4.5337690376388071, 'crashed')
HRT (-3.566245209162596, 'project scientist deadline')
HRT (-3.358870361127503, 'happens')
HRT (-3.0878947507567087, 'ceres pluto')
HRT (-3.0347837976788128, 'future missions')
HRT (-2.7486295627542305, 'nasa curiosity rover')
HRT (-2.6201279676477531, 'app')
HRT (-2.6046905823910413, 'launch docking')
HRT (-2.5335841777348476, 'dragon dragon')
HRT (-2.4113325731065447, 'shorty award')
HRT (-2.2748726297305866, 'nasa asteroid')
HRT (-2.1758381963206954, 'fri 11 18')
HRT (-2.1693065749335712, '4k')
HRT (-2.1626062485558513, 'progress 58')
HRT (-2.1279255609032046, 'sphere')
HRT (-2.1246078016439269, 'gauge')
HRT (-2.1240960648170328, 'di concordia di')
HRT (-2.1210353946051628, 'processing')
HRT (-2.1175731486478124, 'gases')
HRT (-2.1073490857969164, 'gave')
HRT (-2.0619983728663294, 'alps image')
HRT (-2.0451779820361762, 'plans seen')
HRT (-2.0364323626273833, 'getting core asteroid')
HRT (-2.0234385273510425, 'beaming')
HRT (-1.9920778448005987, 'erupting')
HRT (-1.972020609571582, 'cometary globule image')
HRT (-1.964426730230789, 'discovers new')
HRT (-1.9624770831784644, 'mass jupiter')
HRT (-1.9581046264486408, 'asia')
HRT (-1.9006565378299194, 'grapple')
HRT (-1.8602532120820388, 'fridays')
HRT (-1.8552121168540434, 'galaxies image')
HRT (-1.8349893586550885, 'advanced')
HRT (-1.814514561959985, 'ness')
HRT (-1.8118136915011762, 'runway')
HRT (-1.786985406396518, 'set flickr')
HRT (-1.7806314828576122, 'fridays speaker series')
HRT (-1.7410023571335393, 'challenges')
HRT (-1.720960450477272, 'spacex announces')
HRT (-1.6862708516137386, 'predictions')
HRT (-1.6782787445572154, 'detroit')
HRT (-1.6729495094516813, 'esa rosetta')
HRT (-1.6641189593978361, 'day pluto')
HRT (-1.6628818577185334, 'making money')
HRT (-1.6614898482795302, 'discovered 1000')
HRT (-1.647443625798847, '17th')
HRT (-1.6430923559238293, 'critical')
HRT (-1.6418666817358207, 'astronaut training')
HRT (-1.6140050648096007, 'radius')
HRT (-1.581635268679048, 'mean')
HRT (-1.5759503789353351, 'american companies')
HRT (-1.5690424419059115, 'decisions')
HRT (-1.5673374482014144, 'monkey head nebula')
HRT (-1.549664289168627, 'manifest dream life')
HRT (-1.5352178604984934, 'cluster galaxies image')
HRT (-1.5191663221529585, 'burn complete')
HRT (-1.5179501010505942, 'chutes deployed')
HRT (-1.5145867803313706, 'spock')
HRT (-1.4883015190714173, 'lorenzo moggio')
HRT (-1.4586107876769321, 'small talk')
HRT (-1.4497239710539953, 'space station')
HRT (-1.4475046742509914, 'broke')
HRT (-1.4467077263208932, 'fallen')
HRT (-1.4406175958855743, 'landing gear')
HRT (-1.4392513095047748, 'astronomy')
HRT (-1.437897397316346, 'photo alan')
HRT (-1.4377387236446437, 'green blobs')
HRT (-1.4355939793293726, 'oct technovation')
HRT (-1.4331439771831684, 'reflective')
HRT (-1.4296406037308416, 'chandra')
HRT (-1.4286052907974229, 'globe')
HRT (-1.4258671523391548, 'hh')
HRT (-1.4228864465100513, 'spacex pres gwynne')
HRT (-1.4180455458771641, 'glowing')
HRT (-1.4157444961879202, 'pr')
HRT (-1.3948794680387429, 'futuristic')
HRT (-1.3946104119142262, 'director policy')
HRT (-1.3883736972389997, 'soyuz undocking')
HRT (-1.3877110181238133, 'calendar space adventure')
HRT (-1.3849857537092505, 'mars image')
HRT (-1.3826549835583131, 'rid cellulite')
HRT (-1.3780780567579041, 'internet')
HRT (-1.3757580713883184, 'kazakhstan march')
HRT (-1.3680608926260329, 'dawn sky')
HRT (-1.3638637357722976, 'avatar')
HRT (-1.3632361232585288, '1997')
HRT (-1.3500934909567868, 'soul')
HRT (-1.3492194575492502, 'splashdown')
HRT (-1.3475423132345286, 'fast fat')
HRT (-1.3442474335130568, 'planetary')
HRT (-1.3425321810689117, 'observatory house')
HRT (-1.3305225440511737, 'incredible photos')
HRT (-1.3300070108754685, 'site 20')
HRT (-1.3290729869547699, 'geological survey')
HRT (-1.3282476341550513, 'central')
HRT (-1.3229461068800255, 'hubble pop culture')
HRT (-1.3199023966102899, 'false')
HRT (-1.3172200416592212, 'deadly secret dog')
HRT (-1.3056662699111303, 'plane')
HRT (-1.3001766906957708, 'climb challenge')
LRT (4.1321730571484254, 'apollo 11')
LRT (4.1220228565987664, 'latest pluto')
LRT (3.3309694636720333, 'appeared')
LRT (2.6217996136798374, 'btwn')
LRT (2.5933478397152587, 'past present')
LRT (2.5357146324349444, 'life planets')
LRT (2.3879893217818373, 'silicon valley')
LRT (2.0360370371328411, 'care')
LRT (2.0201981591987774, 'mixed')
LRT (2.016077395798197, 'apr')
LRT (2.0012563551268232, 'antares rocket')
LRT (1.8805807169978837, 'extrasolar planets')
LRT (1.8674570817682794, 'mall')
LRT (1.8523805361795287, 'ping')
LRT (1.8201691901453805, 'relative')
LRT (1.8071685918903284, 'reported')
LRT (1.7664167081622602, 'boson')
LRT (1.7525397909394635, 'improbable')
