(-5.0134528459384393, 'ska')
(-4.4239625763703412, 'cosmos')
(-4.3095743526645967, 'cometlanding')
(-3.7225195181294177, 'pluto')
(-3.4492243105711897, 'plutoflyby')
(-2.808027100489757, 'comet')
(-2.8028027085735037, 'nasa app')
(-2.6384142358190559, 'caves')
(-2.4693602638661223, 'cometwatch')
(-2.445363521009996, 'ceres')
(-2.3955892272750243, 'photo')
(-2.3683929012756213, 'orion')
(-2.3184570105319366, 'lightsail')
(-2.3047361143818907, 'isscrew')
(-2.2093053383602665, 'eclipse')
(-2.1863487042863232, 'falcon')
(-1.9830029479462092, 'nebula')
(-1.979566718142072, 'futura')
(-1.946372561954347, 'space')
(-1.9447811018136241, 'image nasa')
(-1.9292623291797484, 'ixv')
(-1.8856581706188786, 'shot')
(-1.8856084344444153, 'astrobutch')
(-1.8757502320044972, 'horizons')
(-1.8757502320044972, 'new horizons')
(-1.8689837271347589, 'image')
(-1.8668164974311736, 'photography')
(-1.8480330185171718, 'yearinspace')
(-1.8331485977470545, 'europa')
(-1.8173719245111213, 'moon')
(-1.7950862039807891, 'image nasa app')
(-1.793299603308913, 'skaprecursor')
(-1.7829473662608701, 'galaxy')
(-1.7741916589986026, 'aurora')
(-1.7324285638104524, 'wakeupphilae')
(-1.729497090302857, 'map')
(-1.7251981081867236, 'ht')
(-1.7243784230445234, 'mars')
(-1.7188938678680339, 'app')
(-1.7108869230988129, 'splashdown')
(-1.7105504691384306, 'view')
(-1.684894302711998, 'skatelescope')
(-1.6750607021635036, 'lifeonacomet')
(-1.6378251997710347, 'jupiter')
(-1.6287935740337494, 'skajobs')
(-1.6206814440802235, 'ocean')
(-1.576106729175851, 'livingwithacomet')
(-1.5752985792828924, 'stars')
(-1.5722669284872495, 'atv')
(-1.5495352829184577, 'beautiful')
(-1.5100457645619982, 'sunset')
(-1.4537497257388268, 'nasabeyond')
(-1.4442334813269053, 'otd')
(-1.4226973161298693, 'galaxies')
(-1.4209858053744073, 'new blog post')
(-1.4107508896396159, 'liftoff')
(-1.4075010390893594, 'world')
(-1.4042058623927614, 'journeytomars')
(-1.3874201364391823, 'light')
(-1.3830274372320952, 'iss')
(-1.3642343079605359, 'dragon')
(-1.3416569937941836, 'search')
(-1.3369896166586457, 'skainthenews')
(-1.333445351908378, 'alien life')
(-1.3283238191164344, 'interstellar')
(-1.3214393910662963, 'hdst')
(-1.3181010198581007, 'st')
(-1.3164685135585625, 'cet')
(-1.3070317562875307, 'auroras')
(-1.2995348858233782, 'picture day')
(-1.2817864521467426, 'humans')
(-1.2694138020238412, 'signal')
(-1.2658210341941378, 'ngc')
(-1.2478446498650779, 'milky way')
(-1.2465442837499536, 'lt')
(-1.2417752912650322, 'sharedsky')
(-1.2411278971259163, 'spacesuit')
(-1.2347782315457694, 'birthday')
(-1.2287507068375587, 'planets')
(-1.2267163424285901, 'lander')
(-1.2190995035386714, 'seti astrobiology')
(-1.2141635545858811, 'lock')
(-1.213420515170712, 'species')
(-1.2122445416610808, 'captured')
(-1.2097228238696147, 'rainbow')
(-1.2091084835679344, 'thingsactualscientistssay')
(-1.2088526143028031, 'spacevine')
(-1.2060871205915416, 'beauty')
(-1.2059504267283678, 'sun')
(-1.1949720471558951, 'sound')
(-1.1942626680638027, 'meteor')
(-1.1825826180022216, 'isscargo craft')
(-1.1789748439640122, 'suitup')
(-1.1757388119460461, 'inmyshoes')
(-1.1655693665584514, 'preps')
(-1.1625921694240877, 'selfie')
(-1.1590781799551524, 'largest')
(-1.1583312262443863, 'orion launch')
(-1.1468672139625009, 'venus')
(-1.1459225858511086, 'infographic')
(-1.1434220504151629, 'red')
(-1.1407441793771589, 'askap')
(-1.138415897515535, 'mission control')
(-1.1382326449180236, 'explosion')
(-1.135141648988417, 'exoplanet')
(-1.1347548657874909, 'sols')
(-1.1303244295846826, 'msl')
(-1.1277807794888051, 'earthday')
(-1.1212534695698142, 'ago')
(-1.1211163557468746, 'water')
(-1.1168385235153815, 'cosmosfinale')
(-1.1156349621637036, 'magnetic')
(-1.1119078385786163, 'piday')
(-1.1116954843102766, 'tonight')
(-1.1022935672346059, 'messenger')
(-1.0997828970334491, 'confirmed')
(-1.0937223551554227, 'ph')
(-1.0930513531721859, 'drill')
(-1.0924251573069232, 'hallo')
(-1.0907232770662398, 'soho')
(-1.0895871393525387, 'seti')
(-1.0863765857729037, 'northern')
(-1.0856498203703844, 'nasatv')
(-1.0849776649532152, 'wow')
(-1.079529217204023, 'navcam')
(-1.0782980972456857, 'milky')
(-1.0766658257438628, 'rs')
(-1.0737395976418216, 'haha')
(-1.0736989202752862, 'sunrise')
(-1.0734221879437962, 'caving')
(-1.0726255311893995, 'cancer')
(-1.0684271001100998, 'halo')
(-1.0682399766757822, 'isspresso')
