HER (-1.4175031660557429, 'has_photo')
HER (-1.0968174840750542, 'has_video')
HER (-0.67851583250607683, 'has_animated_gif')
LER (1.9916368286434716, 'has_url')
LER (0.046975577970416682, 'has_hashtag')
