HER (-0.50225728778465695, 'has_exclam')
HER (-0.49883331426742711, 'no_exclam')
HER (-0.13789822754050515, 'low_wps')
LER (0.76440426581584442, 'many_sixltr')
LER (0.58590600486840116, 'high_wps')
