Sun Jul 19 20:52:00 +0000 2015,Have a small spacecraft to launch? We now have a new launch pad @NASAKennedy just for you: http://t.co/QkeNOTAJxn http://t.co/VQLBkmK9i8,11260353,448,757
Sun Jul 19 19:49:00 +0000 2015,"This image taken by @CassiniSaturn shows us the anti-Saturn side of the planet's moon, Titan: http://t.co/EWAjR4pWgy http://t.co/VL5jFHddhX",11260353,771,1395
Sun Jul 19 18:34:00 +0000 2015,Our Pleiades supercomputer now ranks 6th in US &amp; 11th worldwide on list of most powerful: http://t.co/Vlax4Zf3iZ http://t.co/ui0iWvw2iq,11260353,652,1133
Sun Jul 19 17:01:00 +0000 2015,.@NASASunEarth's #SDO saw a series of loops in profile on the sun from July 9-13. Explore: http://t.co/scOhBya3a0 http://t.co/e3oGBpzvsJ,11260353,977,1468
Sun Jul 19 15:26:23 +0000 2015,"Good news for @NASA_Astronauts: Morning coffee just got an upgrade! Find out more in the latest @NASAScienceCast
https://t.co/FTMCcBKnax",11260353,691,1031
Sun Jul 19 00:07:03 +0000 2015,A blurred point of light is now in focus after @NASANewHorizons #PlutoFyby! Images gallery: http://t.co/edF7CxbovA http://t.co/9S7XMaPS9L,11260353,2352,3393
Sat Jul 18 22:41:00 +0000 2015,Uncovering the secrets of this cluster of stars near the center of our galaxy: http://t.co/1dwUTXGRH0 #@NASA_Hubble http://t.co/Kedzwi5Hrn,11260353,1693,2770
Sat Jul 18 21:18:00 +0000 2015,Excited about Pluto? Our ‘Year of Pluto’ documentary is now available to watch On Demand: http://t.co/mfgaDnEXF1 http://t.co/l0k7TjVbev,11260353,1599,2805
Sat Jul 18 20:05:00 +0000 2015,Lesson in infrared light - our satellite gathered data on 3 tropical cyclones: http://t.co/NWgWo77cFR #EarthRightNow http://t.co/F327uCRtle,11260353,323,481
Sat Jul 18 18:50:02 +0000 2015,Send congrats to the @NASANewHorizons team for their historic #PlutoFlyby: https://t.co/UW1loRaXa0 @whitehouseostp http://t.co/HayNGynDog,11260353,1172,2273
