HER (-5.5766195289877727, 'pluto')
HER (-5.2799775082107674, 'nasa app')
HER (-4.8806545331612741, 'image nasa')
HER (-4.6984016655052647, 'app')
HER (-4.2231921813399627, 'image nasa app')
HER (-4.1336184649159637, 'exomars')
HER (-4.1195241400225537, 'cosmos')
HER (-4.0757641408924172, '67p')
HER (-3.8306957013334921, 'plutoflyby')
HER (-3.7951256435104779, 'image')
HER (-3.2209176357383886, 'ska')
HER (-3.2105495712786198, 'cometlanding')
HER (-2.9503739794666513, 'yearinspace')
HER (-2.618784173660945, 'caves2014')
HER (-2.6112217330367216, 'orion')
HER (-2.3005068539870077, 'lightsail')
HER (-2.1863560838304599, 'principia')
HER (-2.1265258123916486, 'ceres')
HER (-2.0811378661161188, 'space universe')
HER (-2.013730052876253, 'journeytomars')
HER (-1.9768300170581503, 'nebula')
HER (-1.8751340039048732, 'spacewalk')
HER (-1.864207676751932, 'world')
HER (-1.8494071545397766, 'aurora')
HER (-1.8409947517962806, 'universe')
HER (-1.7570105297432481, 'cometwatch')
HER (-1.7499624879576543, 'et')
HER (-1.7318265728404958, 'ht')
HER (-1.699768462536438, 'credit')
HER (-1.6455621084367611, 'happy')
HER (-1.6128793702391033, 'map')
HER (-1.5846476017344486, 'wonder')
HER (-1.5445844054564504, 'cygnus')
HER (-1.5156013067744103, 'lt')
HER (-1.4869137869696027, 'new horizons')
HER (-1.4701369862522973, 'horizons')
HER (-1.457294797363482, 'charon')
HER (-1.410844304892692, 'eclipse')
HER (-1.3992529927933952, 'crew')
HER (-1.3886625112325139, 'shot')
HER (-1.3837077907582056, 'color')
HER (-1.3647379981233612, 'ago')
HER (-1.3468254078309667, 'humans')
HER (-1.3455315863124997, 'ocean')
HER (-1.3245673880170317, 'people')
HER (-1.3170120176477746, 'thought')
HER (-1.3022159072753527, 'moon')
HER (-1.2932893140278521, 'starwars')
HER (-1.2669895146011905, 'liftoff')
HER (-1.265504976974243, 'app space')
HER (-1.265504976974243, 'nasa app space')
HER (-1.2640636522379309, 'skanews')
HER (-1.2624192302065891, '1st')
HER (-1.2552320588324708, 'milky way')
HER (-1.2357947128627935, 'comet')
HER (-1.2287101527253983, '2015')
HER (-1.2282620183083022, 'otd')
HER (-1.2264902005912024, 'interstellar')
HER (-1.2215830375640908, 'billion')
HER (-1.2016552582225362, 'selfie')
HER (-1.1867310400118423, 'comet 67p')
HER (-1.1789018097667485, 'skajobs')
HER (-1.1752507712317972, 'einstein')
HER (-1.1465800548491447, 'hello')
HER (-1.1435719350066904, '2016')
HER (-1.1380394929773785, 'cave')
HER (-1.1301865865729861, 'best')
HER (-1.1171594884139979, 'seen')
HER (-1.1164880643504134, 'landed')
HER (-1.1153664398692031, 'pi')
HER (-1.1091943366398445, 'captured')
HER (-1.1014616478995312, 'ago today')
HER (-1.0879272275682617, 'took')
HER (-1.0876060035579407, 'bits')
HER (-1.0704562862725733, 'livingwithacomet')
HER (-1.0662769981525289, 'watchingcosmos')
HER (-1.0602129657643389, 'astrobutch')
HER (-1.0601726300627683, 'black')
HER (-1.0589460924265552, 'galaxy')
HER (-1.0509097909504026, 'morning')
HER (-1.0500026142419627, 'milkyway')
HER (-1.0489486453432026, 'apply')
HER (-1.046325079172912, 'clouds')
HER (-1.0458484249340685, 'theinternetnamesspace')
HER (-1.0446430394637578, 'superbloodmoon')
HER (-1.0301508300921334, 'milky')
HER (-1.0301236398163753, 'ngc')
HER (-1.0191023379333755, 'view')
HER (-1.0185259324962312, 'planets')
HER (-1.0038749892140864, 'cargo')
HER (-0.99994188141485518, 'gravitationalwaves')
HER (-0.99379232968495668, 'neptune')
HER (-0.99068999894486454, 'signal')
HER (-0.98933184634578542, 'relativity')
HER (-0.98068081362759263, 'moons')
HER (-0.97414318105108566, 'robot')
HER (-0.97032493224212568, '000')
HER (-0.96879881311750848, 'food')
HER (-0.96632149715509064, 'planetary35')
HER (-0.96136564570945793, 'ph')
LER (8.8778221875332584, 'nasa')
LER (4.4095647654868895, 'astrobiology')
LER (3.8787614290419232, 'check')
LER (3.0830806982127097, 'chabot')
LER (2.8083958984706041, 'spacex')
LER (2.7687795093825609, 'nasatweetup')
LER (2.6945405786719592, 'nasafuture')
LER (2.6727066552008267, 'shuttle')
LER (2.6607179411754651, 'news')
LER (2.6185640748005148, 'astrofunfact')
LER (2.5051618544417198, 'astronomy')
LER (2.4527963681923803, 'niac2012')
LER (2.2644842978226931, 'post')
LER (2.2034000948224213, 'jpl')
LER (2.1709885115088032, 'sts')
LER (2.120003257934997, 'sdoisgo')
LER (2.0879447363824677, 'blog')
LER (2.0619862965448865, 'contest')
LER (2.0320042339012918, 'posted')
LER (2.0111510137900583, 'spon')
LER (1.9776451217605997, 'ksc')
LER (1.9551393593925157, 'thanks')
LER (1.9152727128410354, 'endeavour')
LER (1.8715834456520157, 'check nasa')
LER (1.8691811683032156, 'constantcontact')
LER (1.8664828458848417, 'tech')
LER (1.8388730463410243, 'technology')
LER (1.8277256096218233, 'cassini')
LER (1.7893462879581969, 'philaethursday')
LER (1.7800209333819792, 'challenge')
LER (1.7333959973689455, 'asteroid')
LER (1.7304825255363472, 'pix')
LER (1.7268472157365162, 'magazine')
LER (1.7204236688270378, 'daily')
LER (1.7025709519664569, 'spirit')
LER (1.7013611715834389, 'hpow')
LER (1.699812400535355, 'says')
