HER (-3.6595633799714298, 'has_photo')
HER (-3.6424995819974137, 'has_animated_gif')
HER (-3.0284500519794735, 'has_video')
HER (-0.017459932500072189, 'has_url')
LER (0.081079819937855041, 'has_hashtag')
