HER (-1.1122613147048006, 'no_qmark')
HER (-0.32486284477965433, 'few_sixltr')
HER (-0.0073796179441106419, 'low_wps')
LER (2.8802058569652664, 'many_sixltr')
LER (1.5457949910664335, 'has_qmark')
LER (0.10675050116499858, 'high_wps')
