mikecrain,Wed Oct 26 06:08:49 +0000 2016,791159628839153664,None,None,2175,2476,0,0,Such a beautiful #Home. It makes me want to take care of it that much more. Thanks @NASA https://t.co/rKz5DkUjHq
DouglasAnders10,Wed Oct 26 06:08:50 +0000 2016,791159634212089857,None,None,832,2423,0,0,Retweeted Intl. Space Station (@Space_Station):  .@astro_kimbrough planted lettuce today to help us learn more... https://t.co/OpH9ZoOxL3
