('ShiftParadigm', 4)
('ICTEvangelist', 3)
('ShellTerrell', 3)
('MRsalakas', 3)
('ZeinaChalich', 3)
('DearTeacherLT', 2)
('trevor_wittwer', 2)
('willrich45', 2)
('mythsysizer', 2)
('grahamandre', 2)
