NeilEvansmail,637068514944155648,Fri Aug 28 01:05:44 +0000 2015,4801,1254,0,0,Get that @WiseEducationAU Certificate! #MakeLifeBetterIn3Words #AussieEd #EdChat http://t.co/6c3TTgXtd0 http://t.co/YvxSLhX9Yx Aust's No1 RT
fcone,637068464985739264,Fri Aug 28 01:05:32 +0000 2015,220,820,32,0,RT @LeeAraoz: Be an ENTHUSIAST in LIFE! Lukewarm is No Good! ~ Roald Dahl #aussieED #growthmindset http://t.co/sW1ejrMp02
schoolstreamapp,637066352176558080,Fri Aug 28 00:57:09 +0000 2015,276,967,0,0,Why high school students shouldn't drop science subjects: http://t.co/K20vcgiIrx #aussieEd
IndSchoolsVic,637066008902115332,Fri Aug 28 00:55:47 +0000 2015,1230,585,2,0,RT @ReachOutPro: What is #wearitpurple day all about? There's a fact sheet for that: http://t.co/GHXpyC0LFF #youthmh #AussieED #ozedchat
gavin_hazel,637064421253103616,Fri Aug 28 00:49:28 +0000 2015,23,186,2,0,RT @ReachOutPro: What is #wearitpurple day all about? There's a fact sheet for that: http://t.co/GHXpyC0LFF #youthmh #AussieED #ozedchat
kms2118,637064248213028864,Fri Aug 28 00:48:47 +0000 2015,78,259,13,0,RT @Alex_Corbitt: Read Like A Reader  Read Like A Writer 📚✏️ (by @stevepeha) #edchat #engchat #elearning #pblchat #edtech  #aussieED http:/…
StFinbars,637063034276442112,Fri Aug 28 00:43:58 +0000 2015,226,0,0,0,#stfmaker explaining how we learnt in #makerspace #makerEDau #aussieED http://t.co/FLPA6vNT6z
StFinbars,637062765278949376,Fri Aug 28 00:42:53 +0000 2015,226,0,0,0,Sharing engineering concepts with #acuedu_p @ACU_education using #goldieblox construction kits #aussieED #aussiemuso http://t.co/Qu7FdC6YCp
facultymag,637062468078964736,Fri Aug 28 00:41:43 +0000 2015,245,798,0,0,We  run off #donations 2 provide #free #education #e-journal #magazine make a pledge today https://t.co/gWtdKi6uGp #Edu #edchat #aussieED
MrsSegall,637061346345926656,Fri Aug 28 00:37:15 +0000 2015,90,74,13,0,RT @Alex_Corbitt: Read Like A Reader  Read Like A Writer 📚✏️ (by @stevepeha) #edchat #engchat #elearning #pblchat #edtech  #aussieED http:/…
StFinbars,637061333444227072,Fri Aug 28 00:37:12 +0000 2015,226,0,0,0,#stfmaker teaching #acuedu_p @ACU_education how to make using #makeymakey pop up! #makerspace #aussieED @AboutCS http://t.co/Z0TlxIw9d1
UrChoicez,637060846666051584,Fri Aug 28 00:35:16 +0000 2015,724,255,0,0,PARENT ALERT: Are you aware of the Sexting &amp; Hookup Culture? http://t.co/EgRjXAO5sB #Parenting #Parents #AussieEd #ozedchat #FutureofEd...
