['novak_jackie', '636157823177523201', 'Tue Aug 25 12:46:58 +0000 2015', '20', '119', '240', '0', 'RT @ShiftParadigm: Connected Educator Month: None of us is as smart as all of us. #edchat #whatisschool #aussieED @ShellTerrell http://t.co…']
['fry_talia', '634163118302621696', 'Thu Aug 20 00:40:44 +0000 2015', '81', '239', '226', '0', 'RT @misskyritsis: Two books I love to use when introducing #geniushour @GeniusHourFair #edchat #picturebooks #20Time #AussieEd #vicpln http…']
['contactgroup', '636472100023324672', 'Wed Aug 26 09:35:48 +0000 2015', '529', '1995', '195', '0', 'RT @mythsysizer: 20 Ways To Use Twitter In The Classroom via @mraspinall http://t.co/ne6pBEIhiI #aussieED #edtech #Twitter']
['Roselink', '636665169314054144', 'Wed Aug 26 22:22:59 +0000 2015', '1082', '1475', '162', '0', 'RT @ZeinaChalich: 10 Things teachers want for professional learning via @sylviaduckworth #aussieED #sunchat #edchat http://t.co/pG2hCEh8kS']
['UngJen', '635528107886309380', 'Sun Aug 23 19:04:43 +0000 2015', '4346', '3345', '113', '0', 'RT @ZeinaChalich: 10 things teachers want for professional development via @sylviaduckworth #aussieED #satchat #sunchat #leadupchat http://…']
['KristieDarby', '635132669987164161', 'Sat Aug 22 16:53:23 +0000 2015', '118', '125', '113', '0', 'RT @johnccarver: #ce14 #FutureReady #Suptchat #sced #iaedfuture #satchat #globaled #edchat #aussieED Where are you in this equation? http:/…']
['DWSWMAT', '636972170388897792', 'Thu Aug 27 18:42:54 +0000 2015', '13', '27', '97', '0', 'RT @TeacherToolkit: A framework that TAs can use for more effective questioning via @EducEndowFoundn #ukedchat #edchat #AussieEd http://t.c…']
['casehighprinc', '634306337149689856', 'Thu Aug 20 10:09:50 +0000 2015', '1167', '212', '96', '0', '"RT @ShiftParadigm: ""The task of the modern educator is not to cut down jungles  but to irrigate deserts."" C.S. Lewis #aussieED http://t.co/…"']
['japleen_kaur1', '634336013750530048', 'Thu Aug 20 12:07:45 +0000 2015', '512', '957', '69', '0', 'RT @WatsEd: #aussieED Please RT @MRsalakas @TeachMissSutton @mythsysizer @GeekyAusTeacher @Hobson_k http://t.co/HiUwIArn2n']
['supergran41', '634867007331020800', 'Fri Aug 21 23:17:44 +0000 2015', '355', '287', '61', '0', '"RT @MRsalakas: Great insight via: @gcouros ""Social media is like water. We teach kids to swim or let them drown!"" #aussieED #sunchat http:/…"']
['ZeinOdeh', '636709930586779648', 'Thu Aug 27 01:20:51 +0000 2015', '292', '938', '59', '0', 'RT @LessonToolbox: Each dot moves in a straight line via @SciencePorn @rallsy23   #maths #math #asechat #aussieED #ukedchat http://t.co/DR3…']
['LessonToolbox', '634102982271979520', 'Wed Aug 19 20:41:46 +0000 2015', '13698', '7539', '59', '47', 'Each dot moves in a straight line via @SciencePorn @rallsy23   #maths #math #asechat #aussieED #ukedchat http://t.co/DR3olzhd67']
['JessicaHeising', '635270266134896640', 'Sun Aug 23 02:00:08 +0000 2015', '192', '559', '58', '0', 'RT @danieldmccabe: Upgrade your KWL Chart to the 21st Century  @langwitches #edchat #aussieED #whatisschool #nyedchat http://t.co/BKYwjpXhiO']
['stress_freeuk', '636923540172873728', 'Thu Aug 27 15:29:40 +0000 2015', '2008', '2003', '57', '0', '"RT @LessonToolbox: ""I am 87% sure my local paper doesn\'t know how pie charts work"" via @empressburger   #numeracy #ukedchat #aussieED http:…"']
['LessonToolbox', '635758353566814208', 'Mon Aug 24 10:19:37 +0000 2015', '13698', '7539', '57', '58', '"""I am 87% sure my local paper doesn\'t know how pie charts work"" via @empressburger   #numeracy #ukedchat #aussieED http://t.co/KhQ2Yw1LQV"']
['SherlynLaurelli', '635420947059748864', 'Sun Aug 23 11:58:53 +0000 2015', '175', '305', '54', '0', 'RT @Gary_S_King: Planning learning for the new academic year? Get the downloadable here&gt; http://t.co/9zGHYpbMTr #sunchat #aussieED http://t…']
['pfahlma', '635158224640077824', 'Sat Aug 22 18:34:56 +0000 2015', '109', '396', '54', '0', 'RT @Alex_Corbitt: Reading Comprehension Strategies 📚📖💡(via @TeachThought) #edchat #engchat #elearning #aussieED #elachat http://t.co/rJcZYr…']
['cathyl4', '635437113887064064', 'Sun Aug 23 13:03:08 +0000 2015', '229', '190', '52', '0', 'RT @ASTsupportAAli: FAIL= First Attempt in Learning! Then SAIL= Second Attempt in Learning #aussieED http://t.co/SdGo4w7AvX']
['HulyaCAYIR', '634705535951110144', 'Fri Aug 21 12:36:06 +0000 2015', '7859', '8156', '48', '0', 'RT @CKinnane: What causes creativity? #aussieED http://t.co/3S0mXsmVWj']
['YaniEdu', '636447262009221120', 'Wed Aug 26 07:57:06 +0000 2015', '2041', '2118', '43', '0', "RT @Alex_Corbitt: Edgar Dale's Cone of Experience (via @Wikimedia) #sunchat #edchat #engchat #elearning #aussieED http://t.co/e4ly0LJzFu"]
