ICTENSW,636832527869702144,Thu Aug 27 09:28:01 +0000 2015,575,218,0,0,#ICTENSW Digest is out! http://t.co/7ALQW9Btrh #edtech #ozcschat http://t.co/4mlg6Fq7RH
malynmawby,636775222130020352,Thu Aug 27 05:40:18 +0000 2015,2235,788,0,0,"""Thank you! For your lessons and wonderful opportunities to experience 'un-girly' activities!"" I call that a win! @Abbotsleigh #ozcschat"
EduTweetOz,636725609780019201,Thu Aug 27 02:23:09 +0000 2015,8152,4121,1,0,RT @mattrix2000: @EduTweetOz Anyone have any teacher or school contacts in #Bali ? #iiate #ozcschat #NSWDoE
mattrix2000,636673849879203840,Wed Aug 26 22:57:29 +0000 2015,372,446,1,0,@EduTweetOz Anyone have any teacher or school contacts in #Bali ? #iiate #ozcschat #NSWDoE
BitsboxKids,636671679427686404,Wed Aug 26 22:48:51 +0000 2015,614,395,3,0,RT @code_future: #CodetheFuture at Clifton Hill Primary School https://t.co/XcaUWUoHns @Lambournelearn #coding #kidscancode #csed #ozcschat…
ICTENSW,636470157385289728,Wed Aug 26 09:28:05 +0000 2015,575,218,0,0,#ICTENSW Digest is out! http://t.co/WjEIA12byx #edtech #ozcschat http://t.co/4mlg6Fq7RH
ICTENSW,636107763417022464,Tue Aug 25 09:28:03 +0000 2015,575,218,0,1,#ICTENSW Digest is out! http://t.co/CAwF4Aex3P #edtech #ozcschat http://t.co/4mlg6Fq7RH
1001011k,636038363347193856,Tue Aug 25 04:52:17 +0000 2015,366,328,0,2,@sallyannw #ozcschat #makerEDau for a start
draketeach,636004552450281472,Tue Aug 25 02:37:56 +0000 2015,802,646,0,1,"I just completed the ""A Sinking Feeling..."" achievement on @groklearning! https://t.co/mnhUfjYK5W #ozcschat #ictensw #ncss"
dbourne,635905378727780352,Mon Aug 24 20:03:51 +0000 2015,274,196,0,1,@sailpip @sue936 @g3moStone @LeanneCameron @draketeach @nabiddle #gDrive share - https://t.co/Z4COdjFwvU  to share ideas. #ICTENSW #ozcschat
ICTENSW,635745384585920512,Mon Aug 24 09:28:05 +0000 2015,575,218,0,0,#ICTENSW Digest is out! http://t.co/7xYcyqmLq2 #edtech #ozcschat http://t.co/4mlg6Fq7RH
NFPICT,635742310148378624,Mon Aug 24 09:15:52 +0000 2015,429,265,3,0,RT @cserAdelaide: We've got @CodeClubAus teacher training on campus today with Kelly! Want to learn? Reg your interest http://t.co/tX7GpBFC…
magda_nobis,635682447691116544,Mon Aug 24 05:18:00 +0000 2015,34,73,3,0,RT @cserAdelaide: We've got @CodeClubAus teacher training on campus today with Kelly! Want to learn? Reg your interest http://t.co/tX7GpBFC…
draketeach,635669117236723712,Mon Aug 24 04:25:02 +0000 2015,802,646,0,2,"I just completed the ""First-person Algebra"" achievement on @groklearning! https://t.co/5n1yTXSrtn #ictensw #ozcschat #ncss"
