BOTH,telemetry,4,4
LER,lakhani,0,4
HER,northern,24,11
HER,m82,11,2
HER,askap,5,0
LER,wheels,8,16
LER,mason,0,16
LER,experts,5,11
LER,lpsc2013,0,10
LER,upcoming,7,23
HER,anche,7,1
BOTH,useful,5,5
HER,perspective,24,9
LER,evening,16,22
HER,powered,13,10
LER,starting,22,29
LER,formation,20,21
LER,elect,0,3
HER,body,17,9
HER,tgo,12,0
LER,accelerate,2,3
LER,historic,13,17
LER,rockets,11,20
LER,stability,1,4
LER,pandora,1,4
HER,critical,11,8
LER,fiction,4,7
HER,merzlyakov,5,0
LER,7p,0,10
HER,laid,5,0
HER,contain,4,2
HER,kbo,15,0
HER,status,21,10
LER,director,13,47
HER,sinkholes,3,0
LER,voices,1,2
LER,rovers,3,22
LER,11a,1,7
HER,spies,13,1
LER,tweeps,8,25
HER,horsehead,18,0
LER,growth,4,9
HER,fact,25,15
LER,activities,11,24
LER,cube,1,3
LER,gift,3,17
LER,yr,6,8
LER,cut,8,9
LER,caller,0,3
HER,weighs,2,1
HER,numbers,8,4
HER,degree,7,4
LER,founder,1,6
LER,2008,2,15
LER,ball,6,16
HER,heat,13,11
HER,dome,5,4
HER,transporter,4,2
HER,fireball,5,4
LER,capability,1,6
LER,3000,2,3
LER,dan,2,9
HER,backwards,3,1
LER,spazio,1,3
BOTH,yup,4,4
HER,imagination,10,3
LER,featured,5,17
LER,7pm,0,12
HER,docks,2,1
LER,expansion,3,4
HER,religion,6,2
HER,barium,3,0
LER,grow,5,7
HER,main,8,6
HER,newest,9,7
LER,meter,2,9
HER,mapping,8,6
HER,tuned,16,10
HER,neighbor,9,1
HER,swri,3,0
HER,mankind,4,1
LER,extinction,3,4
LER,rich,8,9
LER,earthnow,0,4
LER,easily,0,5
HER,ultra,9,2
HER,geysers,6,5
HER,pleiades,11,1
LER,captures,12,18
HER,expanding,7,2
BOTH,survive,8,8
LER,earlier,16,20
HER,species,12,2
LER,present,8,9
HER,saw,19,18
BOTH,wish,11,11
HER,exhibition,9,6
LER,opinions,1,5
LER,sail,11,14
LER,showing,9,22
