user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
1byrd2,Tue Mar 15 05:11:16 +0000 2016,709607876717907968,50,300,0,0,has_no_media,@BrickStarted LOL! Idiot Bot. You're advertising #BernieSanders just b/c I joked #BuildTheWall to stop ocean rise from #GlobalWarming
aftabalam_77,Tue Mar 15 05:07:55 +0000 2016,709607034837188608,405,338,0,0,has_no_media,Who is polluting the air? #environment #climatechange #globalwarming  https://t.co/Uh0TPBfMHo
MyFogponics,Tue Mar 15 05:01:33 +0000 2016,709605431493173248,453,1969,0,0,has_no_media,#inspired #hope from #einstein #EleanorRoosevelt #rumi and #courseinmiracles  #globalwarming Trumpism: When... https://t.co/ItPM5xXkqj
yamulk,Tue Mar 15 04:54:08 +0000 2016,709603566026145793,3570,255,0,1,has_no_media,We're seeking out the coolest spots in Colombo.  #globalwarming https://t.co/NKVPU2inxS https://t.co/jCwMmuGysT
ErroldMoody,Tue Mar 15 04:47:27 +0000 2016,709601883363667968,291,51,0,0,has_no_media,Global warming levels masked by aerosols: study | Cosmos - Cosmos https://t.co/6izOiGLW3j #GlobalWarming
Air2Vent,Tue Mar 15 04:38:52 +0000 2016,709599721795543040,387,388,0,0,has_no_media,Freaking out about NYC sea level rise is easy to do when you don't pay attention to history https://t.co/0TsgZEXfd3 #GlobalWarming
Air2Vent,Tue Mar 15 04:36:34 +0000 2016,709599143702953984,387,388,0,1,has_no_media,#Climate Claim: Sea Level Rise Could Displace Millions of US Citizens https://t.co/mkOPlj3FnN via @wattsupwiththat #GlobalWarming
PlantsLoveCO2,Tue Mar 15 04:36:07 +0000 2016,709599031576682496,129,251,0,0,has_no_media,Climate Depot:Aussie Climate Scientist Arrested for Fraud #COP21 #globalwarming #climate #ClimateChange https://t.co/3EF5AFnhUW
WorldEventsNews,Tue Mar 15 04:28:50 +0000 2016,709597199139676161,2221,2148,0,0,has_no_media,#climatechange #usa Oops. Facing backlash  Clinton reverses herself on coal – Now says it... https://t.co/9rLlyPVGiB #globalwarming #news
WomenWorldNews1,Tue Mar 15 04:25:59 +0000 2016,709596482949656577,17056,8922,1,0,has_no_media,#GlobalWarming #Tcot Millions In US At Risk From Rising Seas: Study: Scientists are concern... https://t.co/f1kAMdf4MG #UniteBlue #CC :-(
WomenWorldNews1,Tue Mar 15 04:25:59 +0000 2016,709596482031083522,17056,8922,0,1,has_no_media,#GlobalWarming #Tcot Nobel Laureates to Arctic Council: No More Drilling: Noting that many ... https://t.co/iHBvfnj6XU #UniteBlue #CC :-(
TheNadiaRoman,Tue Mar 15 04:21:42 +0000 2016,709595404036235265,513,294,0,0,has_no_media,@realDonaldTrump doesn't think #globalwarming exists and doesn't care about #animalrights 🙈👎🏼👎🏼👎🏼👎🏼👎🏼
BooksDarling,Tue Mar 15 04:20:41 +0000 2016,709595147135098880,78,143,0,0,has_no_media,It's mid-March and I'm already being dive bombed in my ear holes by mosquitos. #globalwarming #humanbuffet #whydotheylovemesomuch
