user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
r_cherwink,Fri Oct 07 03:43:27 +0000 2016,784237678871007233,1459,713,0,0,has_no_media,#BustTheMyth– nukes are NOT #green clean safe or affordable! https://t.co/J4zoDzjBUZ &lt; #OcNuke #ActOnClimate… https://t.co/DzRdzSIMiK
MySolar4u,Fri Oct 07 03:43:05 +0000 2016,784237586810150912,2930,1049,0,1,has_no_media,Sustainability is good business — and here’s proof https://t.co/9tL9HLFIOG #Climate #Change #Solar
elisa_michaels,Fri Oct 07 03:42:28 +0000 2016,784237429121097728,536,798,0,0,has_no_media,.If you do not suspect your own government of #Climate #engineering you might want to start. It's affecting RED STA… https://t.co/cBHoJfyslm
Jejeel3,Fri Oct 07 03:40:48 +0000 2016,784237012475797504,859,1774,0,0,has_no_media,#peacocks from #Tharparker are iconic species from the area  #climate #change may be a threat to their survival  hl… https://t.co/f5brlhGHsx
EnviroPolitics,Fri Oct 07 03:40:08 +0000 2016,784236842707288064,5320,5614,0,0,has_no_media,The Arctic is being utterly transformed https://t.co/2aEjG550kj #climate #njenviro #arctic… https://t.co/5kuLMjhzIW
CaplanComms,Fri Oct 07 03:39:51 +0000 2016,784236771651485696,3887,2046,0,0,has_no_media,.@DrudgeReport’s playing down and politicizing of #HurricaneMatthew was "deplorable." https://t.co/l7TbM81569… https://t.co/5jaiME8qQr
r_cherwink,Fri Oct 07 03:39:44 +0000 2016,784236742261952513,1459,713,0,0,has_no_media,#BustTheMyth ::: is Nuclear power the answer to #Climate Change? https://t.co/lbS5mvWIM6 &lt; #OcNuke #eco… https://t.co/3Yv61gzO17
r_cherwink,Fri Oct 07 03:38:47 +0000 2016,784236502360268800,1459,713,2,0,has_no_media,#nuclear? dirty•dangerous•expensive•too_slow! https://t.co/J4zoDzjBUZ &lt; #BustTheMyth #nonukes #eco #climate… https://t.co/gBxRoThTQN
r_cherwink,Fri Oct 07 03:37:28 +0000 2016,784236170859294720,1459,713,1,0,has_no_media,#BustTheMyth! #Nuclear Power – No Solution to #ClimateChange! &lt; #RCDaily #OcNukeDaily #nonukes #eco #climate… https://t.co/hSon9ATb2x
DavidDREL,Fri Oct 07 03:35:01 +0000 2016,784235556234485760,436,451,0,1,has_no_media,I'd like to see the financials on sustainable businesses. The ROI must be fabulous! #Climate #Economics
lifieldgg,Fri Oct 07 03:34:47 +0000 2016,784235495798611971,665,2211,0,0,has_no_media,Tell our debate moderators: be leaders  take #climate on as a topic at #debates2016 via @CleanAirMoms https://t.co/1R0wIWMt36
RHOlson77,Fri Oct 07 03:34:31 +0000 2016,784235430120087557,68,399,0,0,has_no_media,Atlantic Ocean’s slowdown tied to changes in the Southern Hemisphere.   #climate  https://t.co/IQUC1Csr1L
carrzee,Fri Oct 07 03:33:41 +0000 2016,784235219356352512,2551,858,0,0,has_no_media,And #Canada talking 50 buck carbon prices #climate https://t.co/QlBVDtDy9k
LimAiYim,Fri Oct 07 03:33:37 +0000 2016,784235203820675072,1535,2347,0,0,has_no_media,Retweeted Tim Melino (@TimMelino):  #CLIMATE Change Is Causing Earlier Springs in National Parks... https://t.co/FquuztJUlH
ImGreenGuru,Fri Oct 07 03:32:40 +0000 2016,784234962274938880,2604,2882,0,0,has_no_media,“There’s a misconception that we’ve begun to address the #climate problem ” Hansen told reporters on a press call... https://t.co/lfVsdsHgNd
climatemediat,Fri Oct 07 03:32:27 +0000 2016,784234911473381376,760,620,0,0,has_no_media,US: Coal Mine Expansion to Have Minor Climate Impact - ABC News https://t.co/XCSinz8fQm #climate
oomingak,Fri Oct 07 03:31:26 +0000 2016,784234653217677312,12,27,0,0,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/k59NXwUhOf #ClimateQuestion
climatehawk1,Fri Oct 07 03:31:00 +0000 2016,784234545054744576,38558,40679,3,0,has_no_media,This humble home appliance could be San Francisco’s secret #climate weapon (and yours!): @drvox… https://t.co/zMfnRt1PbF
fishnure,Fri Oct 07 03:30:51 +0000 2016,784234508631629824,3892,4930,0,1,has_no_media,Leave #fossil #fuels in the ground. https://t.co/xAmVRm5P1w #sustainability #climate #environment
ShetabAfg,Fri Oct 07 03:29:08 +0000 2016,784234074655326209,238,408,1,6,has_no_media,First #farm to grow veg in a #desert using only sun and seawater #socent #climate change #design #solar  https://t.co/MZeb6aJZTG
michael_delaney,Fri Oct 07 03:28:52 +0000 2016,784234007907016704,1662,1605,0,0,has_no_media,A storm is brewing with the states. And it’s entirely of Turnbull’s making | Kristina Keneally https://t.co/lwFvtDOCsG #climate #auspol
MalditoMendez,Fri Oct 07 03:28:28 +0000 2016,784233905138249730,256,216,0,0,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/6x65VEEUVU #ClimateQuestion
RogerFreedman,Fri Oct 07 03:26:34 +0000 2016,784233429638324224,852,722,0,0,has_no_media,Indeed. #climatechange #climatescience #climate #ScienceEducation https://t.co/ZB50nAKl9H
StephenHui,Fri Oct 07 03:25:54 +0000 2016,784233261610393600,9619,5462,0,0,has_no_media,Canada to set national carbon tax from 2018 – Trudeau https://t.co/F1f7NULexa  @ClimateHome @climatemegan #cdnpoli #climate
johnsalmond,Fri Oct 07 03:25:53 +0000 2016,784233258653331457,1773,2789,0,0,has_no_media,@murpharoo clear and gross failure of leadership from both sides in Canberra  on #climate and on all that flows from #climate policy
maximaxoo,Fri Oct 07 03:25:36 +0000 2016,784233186175901696,42866,11551,5,5,has_no_media,The latest Maxinews! https://t.co/RRFiovG4ca Thanks to @KLlewellin #matthew #climate
cleantechfacts,Fri Oct 07 03:25:12 +0000 2016,784233083059011584,2035,2424,0,0,has_no_media,The World’s Worst Corporate #Climate Criminals https://t.co/TiainTyn2G via @teleSURtv
mainemama48,Fri Oct 07 03:24:37 +0000 2016,784232937352900609,747,1191,0,0,has_no_media,#HurricaneMatthew rages on  yet candidates are quiet on #climate. Demand a #ClimateQuestion at #PresDebate: https://t.co/9Tjy0Hi53X
mohamedmimo090,Fri Oct 07 03:24:29 +0000 2016,784232906327781376,1,3,1,1,has_video,Hurricane Matthew: Airplane Struck By Lightning in Florida 6/10/2016 #climate  https://t.co/ETQdktKUmR #Hurricane #HurricaneMatthew #Matthew
Patimaangel,Fri Oct 07 03:20:01 +0000 2016,784231781503410177,257,399,0,1,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/GzGQlmdep6 #ClimateQuestion
andey_nunes,Fri Oct 07 03:16:58 +0000 2016,784231011391410177,16,50,0,0,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/ZkHRc8JrZ5 #ClimateQuestion
Samosata,Fri Oct 07 03:15:59 +0000 2016,784230764858646528,589,686,0,0,has_no_media,#Hillary will take on #climatechange &amp; make the US a clean energy superpower:  https://t.co/PbgcUarJQJ #climate #ImWithHer #StrongerTogether
whymandesign,Fri Oct 07 03:15:29 +0000 2016,784230640476651520,1744,2172,0,0,has_no_media,#Travel #Festival &amp; #Climate #Change Award https://t.co/uRvHPUkvmL @wikivoyage @Wikitravel @ClimateKIC  @ClapOficial @melendezangel11
josh_sheppard10,Fri Oct 07 03:15:22 +0000 2016,784230609082159104,266,702,0,0,has_no_media,How about ending support for #fossilfuels  rather than art and sport? @SenPaterson #priorities #auspol #climate https://t.co/sXyYb8SOXC
gerfingerpoken2,Fri Oct 07 03:12:39 +0000 2016,784229927147012096,23933,9962,0,0,has_photo,#DemPlatform Embraces #Climate McCarthyism - American Thinker - #PJNET - https://t.co/eZzgGE2aso  https://t.co/NjfUIlvevh #globalwarming
channingdutton,Fri Oct 07 03:10:53 +0000 2016,784229481414209536,262,51,2,0,has_photo,Does the Sandy cartoon look familiar?  The #climate future will see this every year... only bigger. https://t.co/Yfz5lbbgrc
PEDA_Int,Fri Oct 07 03:10:36 +0000 2016,784229409599451136,402,451,0,0,has_no_media,The latest The climate change Daily! https://t.co/icaLPMQPr4 Thanks to @OurHorizonOrg @Marplesmarbles @Katjato #climatechange #climate
MalditoMendez,Fri Oct 07 03:09:31 +0000 2016,784229136587890688,256,216,0,0,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/IGmw5rIn91 #ClimateQuestion
Jesus_isPeace,Fri Oct 07 03:08:11 +0000 2016,784228804361228288,4750,4347,0,0,has_no_media,#UN Add #Climate Surcharge 2 Air Fare 2 Fund Their #WorldGovt #Trump #AmericaFirst #MAGA #CCOT #ClimateHustle #PJNet https://t.co/EKbJWF5zQ7
JaseDavo,Fri Oct 07 03:07:39 +0000 2016,784228670235824128,322,596,0,0,has_no_media,10 countries that have ratified the #ParisAgreement on #climate (Australia still MIA) https://t.co/KdJWwPZFUy #auspol via @climatecouncil
carrzee,Fri Oct 07 03:07:31 +0000 2016,784228636073295873,2551,858,1,0,has_no_media,What It’s Like to Be Trapped by a Category 5 Hurricane  via @nytimes #climate https://t.co/2KlcWiwT9e
MbusyaKusima,Fri Oct 07 03:07:24 +0000 2016,784228604431466500,8,61,0,0,has_no_media,#PrayForFlorida real effect of #climate #climatechange people from all walks of need to do something on this.
alan_poirier,Fri Oct 07 03:05:44 +0000 2016,784228186800349184,1050,456,0,1,has_no_media,Sick of these morons. Thirty years ago we had 10 years to save the world. Guess what you miserable dummies  we're s… https://t.co/URJJBSnIms
DaniEcoPoet,Fri Oct 07 03:04:26 +0000 2016,784227858805825536,97,230,0,0,has_no_media,Debate moderators must end the #climate silence at #PresDebate this Sunday. Sign on: https://t.co/qvdhrgrajc #ClimateQuestion
RnfrstAlliance,Fri Oct 07 03:00:41 +0000 2016,784226916672962561,152034,9472,10,6,has_no_media,Despite being the "face of #climatechange " Inuit haven't had a voice in shaping Canadian #climate policy: https://t.co/5M0EOpj9Na @CBCNews
Act428pm,Fri Oct 07 03:00:07 +0000 2016,784226772732801024,1447,1671,0,0,has_no_media,Californian #wind #power producing 0.4% of demand. Do the washing after 8pm.  #climate #energy #smallthings
carrzee,Fri Oct 07 02:59:40 +0000 2016,784226659566227456,2551,858,0,1,has_no_media,Hurricane Matthew Approaches Florida; Governor Urges 1.5 Million to Flee  via @nytimes #climate https://t.co/Oduq7SlDoI
gridpointwx,Fri Oct 07 02:59:38 +0000 2016,784226650984767492,91,64,0,0,has_no_media,#CLIMATE Change Is Causing Earlier Springs in National Parks https://t.co/t5tOjy1oUc  #GlobalWarming #climatechange
TimMelino,Fri Oct 07 02:59:21 +0000 2016,784226578985263104,12805,9996,6,0,has_no_media,#CLIMATE Change Is Causing Earlier Springs in National Parks https://t.co/dnKSCegNnR  #GlobalWarming #climatechange
channingdutton,Fri Oct 07 02:59:07 +0000 2016,784226521988726784,262,51,0,1,has_no_media,Hey .@andersoncooper  Hurricane Matthew offers a glimpse to the #climate future.  Who has a plan of action?  That's the #Debates2016 topic
