user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
relnews_tw,Wed Mar 16 23:01:11 +0000 2016,710239520302735361,7021,3115,0,0,has_video,ISS Bound Spacecraft and Rocket  Rolled to Launch Pad #NASA #RELNEWS https://t.co/o16hUEE9ER
government_org,Wed Mar 16 23:00:56 +0000 2016,710239455278280704,24,2,0,0,has_no_media,How smartphones helped #NASA to build tiny satelites you can hold in your hand. Read more: https://t.co/4fyxD2rlGj
eeekster,Wed Mar 16 22:58:05 +0000 2016,710238738236907520,1100,1955,0,0,has_no_media,#nasa  Planetary Conference to Feature Ceres  Mars  Pluto Science Results https://t.co/8vZ3vgxkFr
knowledgeisrich,Wed Mar 16 22:55:39 +0000 2016,710238124681506817,1217,1562,0,0,has_no_media,Hope y'all enjoying  yourselves for #NASA week. Next week we will follow up with  #faithfulblackmen week and following that is SFApril #SFA
VINDICATORofYah,Wed Mar 16 22:55:28 +0000 2016,710238077944332288,7760,8530,0,0,has_no_media,@atheistic_1 HUMANISM IS A RELIGION. #NASA #EVOLUTION ALL TAX-FUNDED RELIGIONS.
tcktcktck,Wed Mar 16 22:54:03 +0000 2016,710237725228531713,38770,9890,2,0,has_no_media,As #NASA releases climate “bombshell”  more questions raised over #fracking climatic impact https://t.co/2lryCExUj6 via @PriceofOil
DaleOlausen,Wed Mar 16 22:53:36 +0000 2016,710237610942136320,218,221,1,0,has_no_media,The Big Dipper  photographed with an iPad https://t.co/uTZlNwJHlM … …   …#space #astrophotography #kindle #NASA https://t.co/CP2wqiLtxh
DaleOlausen,Wed Mar 16 22:52:42 +0000 2016,710237382323216384,218,221,1,0,has_no_media,Orion  photographed with an iPad https://t.co/Mb9sEfTtCY … …   #space #astrophotography #kindle #NASA https://t.co/twwsXUwG1Y
DaleOlausen,Wed Mar 16 22:51:49 +0000 2016,710237162101321729,218,221,1,0,has_no_media,Two views of the moon: https://t.co/p6EUQ2pyxY   #space #astrophotography #kindle #NASA https://t.co/wH4sVhM8k1
DaleOlausen,Wed Mar 16 22:50:57 +0000 2016,710236945255804928,218,221,1,0,has_no_media,A look at the APJ paper on the possible new planet: https://t.co/P4Mq4dVv8n … … … …#nasa #space #astrophysics https://t.co/urdEK7U2ZA
relnews_tw,Wed Mar 16 22:50:34 +0000 2016,710236844923998210,7021,3115,0,0,has_no_media,NASA Pursues Burning Desire to Study Fire Safety in Space #NASA #RELNEWS https://t.co/YrXD3kCPIt https://t.co/BUtXa3vlyg
