user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
BluEyedBadBoy,Wed Mar 16 22:41:00 +0000 2016,710234437254914049,81,217,0,0,has_no_media,@ChrisDeLuca @MarkLazerus LaRoche is probably a birther and an antivax'er.
neonlion,Wed Mar 16 22:24:38 +0000 2016,710230318972837889,48,75,1,1,has_no_media,@gregbuzzard @HillaryClinton I totally agree with you  Greg. It's like the antivax paranoia in my eyes.
antivax,Wed Mar 16 21:46:32 +0000 2016,710220732807168001,367,21,0,0,has_no_media,DARK Act defeated in U.S. Senate as lawmakers receive tidal wave of calls from angry food consumers who are tired... https://t.co/71JOaNXHjx
jeninmotion,Wed Mar 16 21:30:47 +0000 2016,710216770737610753,164,133,0,0,has_no_media,@brownandbella Antivax is low-key cultish. Suddenly everything is a "vaccine injury" to the hardcore.
antivax,Wed Mar 16 21:12:35 +0000 2016,710212186933760001,367,21,0,0,has_no_media,What's The Difference Between Organic + Natural Food Labels? Finally  a solid explanation to help guide you... https://t.co/WLe990P4E9
syn_ebooks,Wed Mar 16 19:21:32 +0000 2016,710184241414467584,19,3,0,0,has_no_media,Antivax has a platform  and that's pretty cool.
antivax,Wed Mar 16 19:10:52 +0000 2016,710181555772252160,367,21,0,0,has_no_media,Everyone's Irish on St. Patrick's Day!  Inbox me if you can join us. https://t.co/bVuXa1j9j8
antivax,Wed Mar 16 18:49:21 +0000 2016,710176143639379968,367,21,0,0,has_no_media,Bernie Sanders stance on Vaccines. Read this article before you vote for this guy.... https://t.co/0AwV8gkpiG
KatenNP,Wed Mar 16 18:46:22 +0000 2016,710175390862589953,623,172,0,0,has_no_media,@pash22 @eatLocalGrown where is the actual study?  Mercola is the worst offender of non evidence based panic  antivax and other bad advice
antivax,Wed Mar 16 18:45:31 +0000 2016,710175179884855297,367,21,0,0,has_no_media,Pharma's highest paid execs from 2014 can move over. Way  way over. Horizon Pharma ($HZNP) has disclosed the 2015... https://t.co/YjI1zmZobd
redhotjetta95,Wed Mar 16 18:44:38 +0000 2016,710174957192359936,226,341,0,0,has_no_media,@SuperAndrea For fucks sake! He's jumped on the antivax  bandwagon. Could this get any worse?????
antivax,Wed Mar 16 18:13:31 +0000 2016,710167124228988928,367,21,0,0,has_no_media,Viagra Side Effects Enhance Melanoma Growth  Researchers Discover https://t.co/XvTN0rqh5c
brandi71183,Wed Mar 16 18:06:48 +0000 2016,710165436537507840,345,350,11,5,has_no_media,@noUpside Good for them! The vaccinated are spreading disease! Just one of many inserts. Antivax read inserts. https://t.co/fh4Z0p6WWS
antivax,Wed Mar 16 18:02:43 +0000 2016,710164407129473024,367,21,1,0,has_no_media,Animal Flu Outbreak Spreading To Humans  ‘overuse of vaccines that spiraled out of control’ https://t.co/9zzErNyRJL
antivax,Wed Mar 16 17:58:14 +0000 2016,710163280526848001,367,21,0,0,has_no_media,Journal walks back 'seriously flawed' study critical of Merck's Gardasil In response to the retraction ... https://t.co/yRGMUkt8ID
antivax,Wed Mar 16 17:51:14 +0000 2016,710161518306922496,367,21,0,1,has_no_media,What is Monsanto's carcinogenic herbicide doing in tampons?... https://t.co/L35W32oV2O
antivax,Wed Mar 16 17:38:46 +0000 2016,710158380833378305,367,21,0,1,has_no_media,Children Conceived through Fertility Procedures May Face Increased Cancer  Leukemia Risks: Study - See more at:... https://t.co/9S7BHcOlVC
antivax,Wed Mar 16 17:33:21 +0000 2016,710157017810399233,367,21,0,0,has_no_media,”Alex will no longer be treated like an animal or subjected to restraints. He will not be discriminated against.... https://t.co/DGpYRTZYmn
antivax,Wed Mar 16 17:21:59 +0000 2016,710154154744762368,367,21,0,1,has_no_media,There are currently at least 360 complaints filed throughout the federal court system over the side effects of... https://t.co/xAUa2Vo5PM
antivax,Wed Mar 16 17:20:11 +0000 2016,710153703781695494,367,21,0,0,has_no_media,Opting Out: The Moral Right to Religious and Conscientious-Belief Exemptions to Vaccination - See more at:... https://t.co/29sXMY3YXj
antivax,Wed Mar 16 17:15:19 +0000 2016,710152479611232257,367,21,0,0,has_no_media,These 1959 Reports Show Measles Was Considered a 'Mild Infection' - https://t.co/RDhWaQ95dO
MedicineNet,Wed Mar 16 16:47:10 +0000 2016,710145395880534016,10838,26,1,1,has_no_media,#Vaccine refusal a driving force behind #measles #outbreaks. #AntiVax  #ProVax https://t.co/6ZAuz5esyF
DRMspec,Wed Mar 16 16:42:20 +0000 2016,710144177904947200,13,63,0,1,has_no_media,@CBCNews / imagine that. You don't protect your kids from stuff you don't understand and they end up sick or dead #antivax #measles
pauloCanning,Wed Mar 16 15:56:30 +0000 2016,710132645443850240,1327,679,0,1,has_no_media,@PaulNiland figured as much. Just wondered if the Int antivax conspiracists also had a hand in.
antivax,Wed Mar 16 15:42:39 +0000 2016,710129156193783808,367,21,0,0,has_no_media,Study Linking Gardasil to Behavioral Abnormalities Pulled from Vaccine Journal   Dr. Shoenfeld  who is Founder... https://t.co/uTIpU041GT
antivax,Wed Mar 16 15:42:02 +0000 2016,710129004951416833,367,21,0,0,has_no_media,Study Linking Gardasil to Behavioral Abnormalities Pulled from Vaccine Journal   Dr. Shoenfeld  who is Founder... https://t.co/Je92RSc6PZ
antivax,Wed Mar 16 15:40:22 +0000 2016,710128583268630529,367,21,0,0,has_no_media,School Suspends All Vaccines After Multiple Students Started Collapsing After their Shots https://t.co/nnoztLyl6e
antivax,Wed Mar 16 15:39:26 +0000 2016,710128350375845888,367,21,0,1,has_no_media,Harvard Mumps Outbreak ‘students who are well-immunized’ https://t.co/kI0NH2lyJg
antivax,Wed Mar 16 15:38:33 +0000 2016,710128127742181376,367,21,0,0,has_no_media,Vaccine Radio  Law &amp; News - Please Share! https://t.co/AIXEliMxlU
