user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
kirstymcpherson,Wed Mar 16 22:46:29 +0000 2016,710235817151733761,531,555,0,0,has_no_media,Doggy play date ❣🐶🐩🐾 #Oscar #Pluto #wains #besties #BrosBeforeHoes https://t.co/JmyVETHFl8
spaceflightcom,Wed Mar 16 22:20:19 +0000 2016,710229234178850820,17,4,0,0,has_no_media,Planetary Conference to Feature Ceres  #Mars  #Pluto Science Results: Researchers from NASA and other institut... https://t.co/9lfri8cDVQ
Laytho_TooLive,Wed Mar 16 22:11:25 +0000 2016,710226993938206720,1000,808,1,1,has_no_media,#Pluto pulling up to SXSW
DouglasAnders10,Wed Mar 16 22:01:26 +0000 2016,710224481499930624,722,2130,0,0,has_no_media,Are #Pluto's Pebbled 'Snakeskin' Slopes Made of Ancient Stuff? https://t.co/IsXtxhxvQR via @sharethis #Space #Astronomy
Lakekeshawty,Wed Mar 16 21:14:10 +0000 2016,710212585413455872,1462,718,2,1,has_no_media,#Pluto has big things planned stay tune for April!!!  https://t.co/cQYUNzjLkZ
FumPuppyWitLuv,Wed Mar 16 21:05:39 +0000 2016,710210443860692993,1583,2205,0,0,has_no_media,Unusual 270-mile-wide ‘bite mark’ on #Pluto’s surface baffles NASA https://t.co/yy9fSkKSeA #space
Toyswithiliana,Wed Mar 16 20:58:38 +0000 2016,710208675839877121,20,37,0,1,has_no_media,Hello From Pluto😆 #Pluto #Disney #kids #ninos #funtimes #orlando https://t.co/vncQh45yjF
SueBarko,Wed Mar 16 20:32:27 +0000 2016,710202086827429892,1004,2242,0,0,has_no_media,Unusual 270-mile-wide ‘bite mark’ on #Pluto’s surface baffles NASA https://t.co/Qao9OzKkeX #NASA #Space #Science
astrotherapist,Wed Mar 16 20:10:04 +0000 2016,710196455366000640,1222,11,0,2,has_no_media,#Jupiter trines #Pluto. An opportunity to take control. Believe that you can make a difference. You have the power to create lasting change.
RiversHedi,Wed Mar 16 19:52:39 +0000 2016,710192071345311744,640,180,0,0,has_no_media,Check out #Disneyland Walt Disney World Japan Coffee Mug #Pluto #Mickey Goofy Minnie Donald D  https://t.co/3Kcanz6tuq via @eBay
TKAstrology,Wed Mar 16 19:22:30 +0000 2016,710184484113666048,201,735,1,1,has_no_media,#Jupiter is trine #Pluto today. It's time to become your #HigherSelf.  #Astrology #WednesdayWisdom #Awakening #love https://t.co/ruI9cfeRns
LPI_Library,Wed Mar 16 19:02:49 +0000 2016,710179532658098177,4080,532,0,0,has_no_media,Added another 10 NASA press release images to the #LPI Flickr page https://t.co/gmK3IJNBQU #Mars  #Pluto #Tethys https://t.co/46UzZZZSdt
pclocators,Wed Mar 16 18:07:29 +0000 2016,710165606100803584,420,1127,0,0,has_no_media,On this day in #history 1930 #ClydeWTombaugh announced the #discovery of the #planet #Pluto. #CoolFacts https://t.co/ZR6fEvMfRY
techislet,Wed Mar 16 17:29:07 +0000 2016,710155952587149313,2487,64,0,0,has_no_media,TI Archive: New High-Resolution Pics of Pluto Released By NASA https://t.co/yhBxrWluWy #nasa #pluto #resolution #transmission
shaka_lulu,Wed Mar 16 17:26:48 +0000 2016,710155366449942528,6461,1562,4,5,has_no_media,What IS a planet  anyway? The @chicagotribune previews our newest exhibit @AdlerPlanet! https://t.co/6hZBY8A85t #space #astronomy #pluto
Scully64,Wed Mar 16 16:16:31 +0000 2016,710137680982581248,5591,4861,1,1,has_no_media,.@tommyhubb THAT I agree w/Tommy  learned enough to get around it wish we could scrub Presidents like planets #Pluto &amp; O downgraded to dwarf
LinuxCanuck,Wed Mar 16 15:51:43 +0000 2016,710131439644360704,81,570,0,0,has_no_media,#Science: #Pluto’s Color Variations Finally Make Sense — Starts With A Bang! — Medium https://t.co/SAyWrG01UX
LifeLiQe,Wed Mar 16 15:50:39 +0000 2016,710131170927894528,220,994,0,2,has_no_media,#Pluto is not a #planet anymore but it still attracts attention. Why does it change colors due to sunlight? https://t.co/MI514eEPWy
NiftyMat,Wed Mar 16 15:33:55 +0000 2016,710126961515831296,19152,275,0,2,has_no_media,The Heartside of Pluto by Hilburn. #pluto with a heart-on gets its first #scifi series post #newhorizonsflyby https://t.co/IBeC4JYlGA #ebook
NewHorizonsIMG,Wed Mar 16 14:50:18 +0000 2016,710115982031904769,2911,57,10,12,has_video,Flying over Pluto's Krun Macula! Watch on YouTube: https://t.co/oewY0yVhv3 #NewHorizons #PlutoFlyby #Pluto #NASA https://t.co/4AZJqbFIAN
SGawlowicz,Wed Mar 16 14:44:46 +0000 2016,710114589636227072,564,1650,0,0,has_no_media,Are #Pluto's Pebbled 'Snakeskin' Slopes Made of Ancient Stuff? https://t.co/b8BNuc0s8J via @michaeldwall
CopySpecNYC,Wed Mar 16 14:23:30 +0000 2016,710109240371912706,73,91,0,0,has_no_media,#ThisDayInHistory 1930 Clyde W. Tombaugh announced the discovery of the planet #Pluto. &lt;~ aaaand it's not a planet any more. ???
lilbunnichelle,Wed Mar 16 14:06:45 +0000 2016,710105025771642881,244,420,0,0,has_no_media,I hope everyone has a #waggingwednesday 🐶🐾 #Pluto #epcot #flowerandgardenfestival #wdw #waltdisney #WaltDisneyWorld… https://t.co/QIvPNiW1Hk
kennicosmith,Wed Mar 16 14:05:56 +0000 2016,710104817868218369,3321,1200,1,3,has_no_media,Public #Pluto talk @NASANewHorizons Aurora Community College  Colorado  7pm Fri Mar 18th. Bring your Qs! @CCAurora https://t.co/l4ib1HNtJO
KikisdelaCreme,Wed Mar 16 13:30:15 +0000 2016,710095838890987520,795,231,0,0,has_no_media,Are you ready?  - today's #trine between #Jupiter &amp; #Pluto will bring #change. Flow with it ! #kikiscafe Tip https://t.co/eocMGtHe0P
EssentialZodiac,Wed Mar 16 13:30:03 +0000 2016,710095786952929281,58,34,0,0,has_no_media,#Jupiter trine #Pluto This is a good sign that the economy is in recovery mode.  Even though Jupiter is... https://t.co/6uaRCnk1ti
SocialMars,Wed Mar 16 13:11:35 +0000 2016,710091139496452096,175,126,1,0,has_no_media,#Social #Pluto Daily @SocialNewsCorp https://t.co/36Y49MKfjN Via #Twitter @423Diotima @RJG72inches @Ss_pluto
SageLinQ,Wed Mar 16 13:05:18 +0000 2016,710089561288781826,390,186,0,0,has_no_media,SageLinQ #Science Are #Pluto's Pebbled 'Snakeskin' Slopes Made of Ancient #Stuff?  https://t.co/gvGmwINANF https://t.co/ybgjFupoFh
kateaspencer,Wed Mar 16 12:50:27 +0000 2016,710085821106413568,1160,1915,0,0,has_no_media,“Pluto’s Color Variations Finally Make Sense” by @StartsWithABang https://t.co/HwzIRN9RH5 #space #pluto #astronomy
OlympianEmpire,Wed Mar 16 12:18:08 +0000 2016,710077688745205764,34,2,0,0,has_no_media,@universetoday: Eat Your Heart Out Pluto @EvanGough2 #pluto #newhorizons https://t.co/wVlPd30OD2 … https://t.co/LdJHxMnCb3
universetoday,Wed Mar 16 12:00:53 +0000 2016,710073350324940800,144526,1078,8,11,has_no_media,Eat Your Heart Out Pluto @EvanGough2 #pluto #newhorizons https://t.co/nPd1UzIo6R https://t.co/VecthjtEWK
fcain,Wed Mar 16 12:00:11 +0000 2016,710073171706249216,31711,9850,2,1,has_no_media,Eat Your Heart Out Pluto @EvanGough2 #pluto #newhorizons https://t.co/jcfQ6OVZIh https://t.co/6hVw3KJP8R
99788Bud,Wed Mar 16 11:47:20 +0000 2016,710069937025327105,1844,1157,3,1,has_no_media,#Space #Astronomy - Are #Pluto's Pebbled 'Snakeskin' Slopes Made of Ancient Stuff? https://t.co/vzhctyHSWB via @sharethis
TrajectoryTweet,Wed Mar 16 11:30:35 +0000 2016,710065723163291648,405,380,0,0,has_no_media,#DidYouKnow...#Pluto was discovered by a young #research assistant in 1930. https://t.co/r8ufKCTTEL https://t.co/lDSs6nKFD0
KeithMansfield,Wed Mar 16 11:21:08 +0000 2016,710063345525792768,947,605,0,0,has_no_media,For 20 years at the end of the last century #Pluto was closer to the Sun than Neptune. @NewHorizons2015 could have had a lot less far to go!
astroduff,Wed Mar 16 11:05:57 +0000 2016,710059524825042944,6719,2540,2,6,has_no_media,Amazing talk at @PwC_AU by @plutoport on getting @NewHorizons2015 to #Pluto hosted by the wonderful @SaraJamesAus https://t.co/g7eK9ENQ89
JezzFacts,Wed Mar 16 10:39:11 +0000 2016,710052789720883200,175,791,1,1,has_no_media,#Pluto was discovered by a young research assistant in 1930. #space #science #environment https://t.co/Jq7IvPQdXH
coloradocartoon,Wed Mar 16 10:39:05 +0000 2016,710052761035997185,53122,54731,0,1,has_no_media,#DonaldDuck  #MickeyMouse  #Pluto and Goofy - 4 Hours Non-Stop  https://t.co/mZhdiMV60v
