user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
now__space,Fri Mar 04 03:37:13 +0000 2016,705597944158937089,64,338,0,0,has_no_media,Asking yourself  "What's #astrobiology?" Find out here: https://t.co/ZBhPsX0KhR https://t.co/IyJwj0E5sb
SpaceRef,Fri Mar 04 02:42:20 +0000 2016,705584131153854464,26921,86,0,1,has_no_media,The Search for Extraterrestrial Intelligence in Earth's Solar Transit Zone https://t.co/TYdz3yA7pm #astrobiology #extrasolar #SETI
astrobiology,Fri Mar 04 02:42:20 +0000 2016,705584131107721218,15287,97,1,1,has_no_media,The Search for Extraterrestrial Intelligence in Earth's Solar Transit Zone https://t.co/N0OWsuWg78 #astrobiology #extrasolar #SETI
SpaceRef,Fri Mar 04 02:42:05 +0000 2016,705584067639533571,26921,86,1,1,has_no_media,Influence of Water Content in Protoplanetary Discs on Planet Migration and Formation https://t.co/HioLSmYO6D #astrobiology #extrasolar
astrobiology,Fri Mar 04 02:42:05 +0000 2016,705584067614416896,15287,97,1,1,has_no_media,Influence of Water Content in Protoplanetary Discs on Planet Migration and Formation https://t.co/K6EPNmbTmj #astrobiology #extrasolar
qldmuseum,Fri Mar 04 02:14:03 +0000 2016,705577013269000193,7631,647,0,1,has_no_media,#astrobiology #astronomy #cosmology #oceanography it's all coming 2 #qldmuseum @WSFBrisbane https://t.co/foeLjdmOCq https://t.co/o2NHch2OaN
astrobiology,Fri Mar 04 00:18:14 +0000 2016,705547865360175105,15287,97,1,0,has_no_media,Is Active SETI Really Dangerous? https://t.co/LZO1aHntHd #astrobiology
astrobiology,Fri Mar 04 00:16:58 +0000 2016,705547546278498304,15287,97,1,1,has_no_media,First life may have been forged in icy seas on a freezing Earth https://t.co/tAeRoVtlon #astrobiology
astrobiology,Thu Mar 03 22:26:27 +0000 2016,705519734213648385,15287,97,0,0,has_no_media,Searching for Extraterrestrials Who Might Have Found Us First https://t.co/Xfp0AuRNee #astrobiology #extrasolar
astrobiology,Thu Mar 03 22:26:21 +0000 2016,705519709634981888,15287,97,0,0,has_no_media,Telling Twins Apart: Exo-Earths and Venuses With Transit Spectroscopy https://t.co/lavIcD7f2R #astrobiology #extrasolar
astrobiology,Thu Mar 03 22:26:15 +0000 2016,705519685777797121,15287,97,1,0,has_no_media,Avoiding 'False Positives' in the Search for Living Worlds https://t.co/ZM8dlAeKS1 #astrobiology #extrasolar
mycro_cosm,Thu Mar 03 20:36:42 +0000 2016,705492114642173952,45,66,0,0,has_no_media,#Astrobiology pic of the week is out https://t.co/ETlJHUcvyD | Structures from the Dresser Formation
dreamyscientist,Thu Mar 03 20:33:55 +0000 2016,705491416282058752,471,650,0,0,has_no_media,#Astrobiology pic of the week is out https://t.co/rbFEKwbqNu | Structures from the Dresser Formation
saganorg,Thu Mar 03 20:33:50 +0000 2016,705491393884459008,997,301,0,1,has_no_media,#Astrobiology pic of the week is out https://t.co/BfgHccJJ5N | Structures from the Dresser Formation
MicrobiomDigest,Thu Mar 03 19:50:21 +0000 2016,705480452740501504,4410,2933,1,1,has_no_media,Two older papers on microbiology and Mars in PubMed today:  https://t.co/VaNnMqS914 https://t.co/IVH8Ckk406 #MicrobesInSpace #Astrobiology
rosieccane,Thu Mar 03 19:39:44 +0000 2016,705477779370975238,339,674,0,0,has_no_media,Now that's extreme sports! #Titan #astrobiology 🌊 https://t.co/vHi0u542gs
Space_College,Thu Mar 03 17:51:05 +0000 2016,705450437793730561,1787,416,0,0,has_no_media,2016 International Summer School in Astrobiology https://t.co/hZStGsWdD2 #astrobiology
EuropeanSpace,Thu Mar 03 17:51:05 +0000 2016,705450436673806336,5802,86,0,0,has_no_media,2016 International Summer School in Astrobiology https://t.co/MB9yRNsRhW #astrobiology
astrobiology,Thu Mar 03 17:51:05 +0000 2016,705450435721748480,15287,97,1,0,has_no_media,2016 International Summer School in Astrobiology https://t.co/vdvJW2QNGc #astrobiology
spaceed,Thu Mar 03 17:51:04 +0000 2016,705450434350227456,4437,87,0,0,has_no_media,2016 International Summer School in Astrobiology https://t.co/lSSiYwYOMj #astrobiology
SpaceRef,Thu Mar 03 17:51:04 +0000 2016,705450433414864896,26921,86,2,1,has_no_media,2016 International Summer School in Astrobiology https://t.co/pMKsNTwrGZ #astrobiology
ArchaeoNewsNet,Thu Mar 03 16:02:53 +0000 2016,705423209177485314,14994,8366,0,1,has_no_media,#astrobiology: What if extraterrestrial observers called  but nobody heard? https://t.co/yykUYSrAk6 https://t.co/56927MA8gb
saganorg,Thu Mar 03 03:52:43 +0000 2016,705239456194940929,997,301,0,0,has_no_media,Searching for Extraterrestrials Who Might Have Found Us First https://t.co/9lVnleVpsN #astrobiology
EarthWizardInfo,Thu Mar 03 02:01:46 +0000 2016,705211532376989697,40146,42139,1,0,has_no_media,Find Great Books About #Astrobiology  Many Topics - Explore This Site: https://t.co/XQ4Q9R4VFo
jenniglass,Wed Mar 02 20:50:29 +0000 2016,705133197852549121,1038,910,0,2,has_no_media,Malone-France: #astrobiology encourages us look backwards &amp; forwards  over a range of scales  need to think over continuum  not in boxes
lukejustinmckay,Wed Mar 02 17:48:45 +0000 2016,705087462314475521,127,273,1,1,has_no_media,Sooooooo what the @&amp;$/$"! is #astrobiology ?  We had a #rad #research 🤓 trip into the… https://t.co/YJ4ep0G5s8
jrahutchins,Wed Mar 02 17:16:05 +0000 2016,705079240329457665,259,1463,0,0,has_no_media,Exciting paper from the cutting edge of #cellbiology and #astrobiology: https://t.co/vfeMzY3s0T
SETItalks,Wed Mar 02 17:07:07 +0000 2016,705076986482401281,1092,162,0,1,has_no_media,Most popular #setitalks: Paul Davies on How to Build A #TimeMachine: https://t.co/g6lvzv8AlE #physics #astrobiology https://t.co/y0PDpye2lu
