HER (-2.1960344808567034, 'low_wps')
HER (-0.58190691098788749, 'few_sixltr')
LER (0.85071547195903308, 'has_qmark')
LER (0.76011902351710181, 'has_exclam')
LER (0.6669698815893812, 'no_exclam')
LER (0.63462584870121119, 'no_qmark')
LER (0.44295845151348789, 'many_sixltr')
LER (0.38794064664158173, 'high_wps')
