(-6.3129124011348772, 'skittles')
(-5.732320451776685, 'ibm')
(-5.294808270332763, 'has_photo')
(-5.023443333867263, 'nestle')
(-4.991173165139851, 'has_photo has_hashtag')
(-4.9875493198798964, 'nutella')
(-4.2734645388436148, 'uber')
(-3.3008451193576218, 'prada')
(-3.2623942680369011, 'low_wps has_photo')
(-3.2470622642990379, 'siemens')
(-3.154878518282298, 'has_animated_gif')
(-3.1053607424085912, 'ps4')
(-2.7431413134573144, 'has_video')
(-2.4910328445562304, 'oreo')
(-2.48503484038031, 'worthsaying')
(-2.4572610094864484, 'ride')
(-2.4343663238344977, 'itallstarts')
(-2.349302837139799, 'few_sixltr has_photo')
(-2.3276990018545014, 'partners')
(-2.2954108154060799, 'lastpringle')
(-2.2924386019027025, 'has_exclam has_video')
(-2.2870957788646633, '2015')
(-2.2519513865017902, 'has_animated_gif has_url')
(-2.1763207824625983, 'chucktaylor')
(-2.1687303229322743, 'has_photo has_url')
(-2.1676545934512621, 'employment4youth')
(-2.1673543393913106, 'cognitiveera')
(-2.1280242808938237, 'introducing')
(-2.1224521095294797, '2014')
(-2.0713380340898477, 'lvfall')
(-2.0508970886343274, 'disney')
(-2.0402655871796842, 'years')
(-2.028936836558461, 'has_video has_hashtag')
(-1.9905936653898069, 'drink')
(-1.9584697396852222, 'sap')
(-1.9453098827309943, 'cognitive')
(-1.9370904123037784, 'watson')
(-1.8919726235251044, 'runsimple')
(-1.8890610335116333, 'hm15')
(-1.8860766141767333, 'galaxys4')
(-1.8688923991947826, 'monstergirls')
(-1.8679854890363128, '000')
(-1.8568065216630452, 'win')
(-1.8459225486782802, 'low_wps')
(-1.8418887920193241, 'development')
(-1.8332681174147605, 'fyi')
(-1.8300897962674156, 'retweet')
(-1.8264211647979445, 'ingenuity')
(-1.819003010295231, 'skittlesart')
(-1.8141970913561403, 'recipe')
(-1.7803533509888527, 'many_sixltr has_photo')
(-1.7678739960612162, 'has_url ibm')
(-1.7673534980273262, 'few_sixltr low_wps')
(-1.7664710454570736, 'visa')
(-1.762531864659151, 'hands')
(-1.7435166424174862, 'billion')
(-1.7331479636648848, 'cookie')
(-1.7160837879835888, 'honda')
(-1.6982108288913891, 'bmw')
(-1.6972308456330731, 'is_authentic_no few_sixltr')
(-1.6789798812425214, 'europe')
(-1.6751546581922234, 'kitkat')
(-1.6625969820379876, 'd23expo')
(-1.6582249877416806, 'cities')
(-1.6568427148363609, 'chuckii')
(-1.648934195641744, 'is_clout_no is_authentic_yes')
(-1.6453929284338507, 'rainbow')
(-1.6330744449552095, 'has_exclam has_photo')
(-1.6143521873253512, 'digital')
(-1.6110040761964461, 'cancer')
(-1.5675198868799918, '2016')
(-1.556986378530937, 'coffee')
(-1.5566361544207212, 'converse')
(-1.5502837541170527, 'nescaf')
(-1.5423304878238715, 'has_qmark has_animated_gif')
(-1.533411039245794, 'experienceamazing')
(-1.5294586194374011, 'happy')
(-1.5286423447788013, 'chuck')
(-1.524603321492273, 'theatres')
(-1.5104218055730265, 'has_url nestle')
(-1.5061503818295208, 'proud')
(-1.4752324784848605, 'pamperscollegepride')
(-1.4738226520763287, 'ceo')
(-1.4680567793291521, 'oreosnackhacks')
(-1.4624720559465056, 'playwithoreo')
(-1.4585496177450754, 'horsepower')
(-1.4407500691898254, 'matter')
(-1.4240782439784425, 'has_url siemens')
(-1.4156834256594157, 'powerful')
(-1.4146806537636341, 'hm14')
(-1.4100792700572959, 'brain')
(-1.4092439666737968, 'taste')
(-1.4063382290816189, 'apple ibm')
(-1.4054162643760439, 'nestlecsv')
(-1.4026835740710839, 'lcm')
(-1.4019607550233035, 'ikeahometour')
(-1.3971248377433942, 'ibmwatson')
(-1.3963064858631065, 'pampers')
(-1.3797358211875352, 'human')
(-1.3729606440125728, 'lvspring')
(-1.3555877401275385, 'custom')
(-1.3538915245225565, 'say')
(-1.3510185966106849, 'differ_yes few_sixltr')
(-1.3507713318640113, 'grammys')
(-1.3463497555058777, 'cat')
(-1.3435220772598986, 'donate')
(-1.3387843555669843, 'nescafe')
(-1.3309304369975601, 'minutes')
(-1.3290578795947556, 'scewc15')
(-1.3286069561619178, 'has_url pictureoftheweek')
(-1.3286069561619178, 'pictureoftheweek')
(-1.3229154610632043, 'cloud')
(-1.3226510838103265, 'cookies')
(-1.3196597537023833, 'sb49')
(-1.2844268584849061, 'plant')
(-1.2813031398672781, 'retweet ready')
(-1.2789396697630062, 'come')
(-1.2785862166493056, 'face')
(-1.2745238590618246, 'has_animated_gif has_hashtag')
(-1.2734360240078342, 'lvgrandpalais')
(-1.2685051511369021, 'wind')
(-1.2651689650316036, 'apple')
(-1.2582792637435758, 'celebratingmonogram')
(-1.2564094430647483, 'has_url experienceamazing')
(-1.2526500526807736, 'has_hashtag know')
(-1.2459962972739806, 'pancake')
(-1.2459815568054908, 'computing')
(-1.2431571165959197, 'surprise')
(-1.2411821112684986, 'pringles')
(-1.2407067053982104, 'chocolate')
(-1.2386453517385878, 'has_url smart')
(-1.2368248290100996, 'has_url design')
(-1.2283106492409208, 'developers')
(-1.2216782176693364, 'pepsiperfect')
(-1.2167100587661013, 'pradass16')
(-1.2130905625162238, 'has_url uncharted')
(-1.211019920790418, 'thinking')
(-1.2087331651505435, 'pampersrewards')
(-1.203010593716987, 'didyouknow')
(-1.1992515847894738, 'high_wps has_animated_gif')
(-1.1988606860586972, 'has_url oh')
(-1.1988215091197181, 'ibmsports')
(-1.1981379928669471, 'has_url talk')
(-1.1972458022610495, 'decisions')
(-1.1949576053114934, 'has_url introducing')
(-1.1939788525528794, 'sesameplaceparty')
(-1.1932267258875333, 'rides')
(-1.1918301220839078, 'turns')
(-1.1898213511543168, 'marilyn')
(-1.1888923474856155, 'is_analytic_no is_clout_no')
(-1.1872532732062284, 'partnership')
(-1.1854140146037684, 'uncharted')
(-1.178834545644359, 'has_url tomorrow')
(-1.1776253125639748, 'analytics')
(-1.1744911777429083, 'revealed')
(-1.1738667407267545, 'throwbackthursday')
(-1.1736342462533631, 'shieldmove')
(-1.1731982385096422, 'ii')
