user,created_time,tweet_id,followers,following,retweet,favourite,has_media,message
twitter,Wed Jul 06 23:48:32 +0000 2016,750838874859905024,55579312,145,93,532,has_no_media,Thanks for the love  @samsheffer. We're always listening and appreciate you sharing your story! #LoveTwitter https://t.co/fiCvP6e8JX
twitter,Wed Jul 06 21:07:40 +0000 2016,750798393035722752,55579312,145,139,424,has_video,Sometimes a GIF is all you need to put a twist on a Tweet. Deal with it.  🕶 #TwitterTips https://t.co/JMBg3mMb7k https://t.co/UHO1SN8zmh
twitter,Tue Jul 05 22:36:02 +0000 2016,750458240652107776,55559469,145,161,817,has_no_media,We're so glad to have you here with us! #GirlsWhoCode2016 ❤️ https://t.co/XZ8Dx3wsxN
twitter,Tue Jul 05 21:38:29 +0000 2016,750443759230267393,55559469,145,177,749,has_no_media,Chill out this #TravelTuesday with the northern lights and wintry sights of Lapland  Finland. ❄️ https://t.co/wp4fBVMxZh
twitter,Tue Jul 05 03:55:11 +0000 2016,750176171900301312,55559469,145,705,1782,has_no_media,After an epic five-year journey through space  follow along with @NASA as #Juno enters Jupiter's orbit. https://t.co/GpY33Ea14F
twitter,Mon Jul 04 17:45:48 +0000 2016,750022815076671489,55544676,145,728,2633,has_photo,Happy #4thOfJuly! Tap #Stickers to explore how people are lighting up Independence Day. 🇺🇸 https://t.co/NN7FfFnf2B
twitter,Sat Jul 02 20:45:44 +0000 2016,749343320338407425,55497889,145,997,1812,has_no_media,See how the world is mourning the loss of Elie Wiesel  Nobel prize laureate  author  and Holocaust survivor.   https://t.co/1w5uezJZU7
twitter,Fri Jul 01 21:04:22 +0000 2016,748985623306907648,55481132,145,749,2192,has_no_media,🇨🇦 Happy #CanadaDay! 🇨🇦 https://t.co/JacrZuCLYj
twitter,Fri Jul 01 16:13:07 +0000 2016,748912326179328000,55481132,145,5233,12033,has_photo,It's party time  @katyperry! With 90 million on the guest list  we're gonna need a really big dance floor. ❤️ https://t.co/TiuHfZllPW
twitter,Thu Jun 30 20:14:24 +0000 2016,748610658405519360,55461032,145,619,1853,has_video,With our new viewing mode  it's now easier to explore the videos everyone’s Tweeting about. Watch more with a tap! https://t.co/XvnVcwOeyr
twitter,Wed Jun 29 18:14:30 +0000 2016,748218099392929792,55429936,145,280,715,has_video,Let the world weigh in by Tweeting a poll. #TwitterTips  🎯 https://t.co/JMBg3mMb7k https://t.co/sjdTCLCvq0
twitter,Mon Jun 27 20:05:05 +0000 2016,747521153195876352,55367936,145,278,1260,has_no_media,Make @VidCon last a liiiiittle longer with slow-motion portraits of @AndreaRussett  @CaseyNeistat  @smosh  and more! https://t.co/uNElvOjY5N
twitter,Mon Jun 27 14:00:59 +0000 2016,747429521440202752,55367936,145,2890,3563,has_animated_gif,Coming soon! Unleash your creativity by adding fun #Stickers to your photos on Twitter: https://t.co/Ph92Oivyhy https://t.co/NZoM6nHenD
