user,created_time,tweet_id,followers,following,retweet,favourite,has_media, message 
twitter,Wed Jul 06 23:48:32 +0000 2016,750838874859905024,55579312,145,93,532,has_no_media, thanks love listening appreciate sharing story lovetwitter 
twitter,Wed Jul 06 21:07:40 +0000 2016,750798393035722752,55579312,145,139,424,has_video, gif need twist tweet deal twittertips 
twitter,Tue Jul 05 22:36:02 +0000 2016,750458240652107776,55559469,145,161,817,has_no_media, glad girlswhocode2016 
twitter,Tue Jul 05 21:38:29 +0000 2016,750443759230267393,55559469,145,177,749,has_no_media, chill traveltuesday northern lights wintry sights lapland finland 
twitter,Tue Jul 05 03:55:11 +0000 2016,750176171900301312,55559469,145,705,1782,has_no_media, epic year journey space follow juno enters jupiter orbit 
twitter,Mon Jul 04 17:45:48 +0000 2016,750022815076671489,55544676,145,728,2633,has_photo, happy 4thofjuly tap stickers explore people lighting independence day 
twitter,Sat Jul 02 20:45:44 +0000 2016,749343320338407425,55497889,145,997,1812,has_no_media, world mourning loss elie wiesel nobel prize laureate author holocaust survivor 
twitter,Fri Jul 01 21:04:22 +0000 2016,748985623306907648,55481132,145,749,2192,has_no_media, happy canadaday 
twitter,Fri Jul 01 16:13:07 +0000 2016,748912326179328000,55481132,145,5233,12033,has_photo, party 90 million guest list gonna need really big dance floor 
twitter,Thu Jun 30 20:14:24 +0000 2016,748610658405519360,55461032,145,619,1853,has_video, new viewing mode easier explore videos tweeting watch tap 
twitter,Wed Jun 29 18:14:30 +0000 2016,748218099392929792,55429936,145,280,715,has_video, let world weigh tweeting poll twittertips 
twitter,Mon Jun 27 20:05:05 +0000 2016,747521153195876352,55367936,145,278,1260,has_no_media, make liiiiittle longer slow motion portraits 
twitter,Mon Jun 27 14:00:59 +0000 2016,747429521440202752,55367936,145,2890,3563,has_animated_gif, coming soon unleash creativity adding fun stickers photos twitter 
twitter,Fri Jun 24 21:37:50 +0000 2016,746457328203898880,55334811,145,117,504,has_no_media, press play latest vidcon2016 followfriday 
twitter,Fri Jun 24 19:05:08 +0000 2016,746418900359741440,55334811,145,355,866,has_no_media, takeyourdogtoworkday best job 
twitter,Fri Jun 24 18:04:54 +0000 2016,746403744028332032,55334811,145,287,1487,has_video, 13 creators campunplug happens things start getting real 
twitter,Fri Jun 24 16:45:05 +0000 2016,746383657108017152,55334811,145,229,568,has_no_media, euref following uk decision leave eu look happening 
twitter,Fri Jun 24 00:40:18 +0000 2016,746140860593512448,55334811,145,743,1995,has_video, creative world pencils paint brushes magic wands 
twitter,Thu Jun 23 21:54:15 +0000 2016,746099074491887616,55317657,145,337,1176,has_no_media, days fuel flight watch make solar aviation history crossing atlantic 
twitter,Thu Jun 23 20:48:05 +0000 2016,746082420064030720,55317657,145,97,509,has_no_media, thanks kevin sharing awesome video lovetwitter 
twitter,Thu Jun 23 15:46:45 +0000 2016,746006587806912512,55317657,145,189,647,has_no_media, hours polls close britain people talking historic euref 
twitter,Tue Jun 21 23:13:19 +0000 2016,745394193820835842,55264093,145,341,1563,has_video, selfies planned right nationalselfieday 
twitter,Tue Jun 21 13:03:31 +0000 2016,745240732860981248,55264093,145,593,1107,has_video, live new ways tap twitter shoot watch create 
twitter,Mon Jun 20 19:40:39 +0000 2016,744978286074200064,55267760,145,781,1632,has_no_media, happy firstdayofsummer emojis summer plans 
