HRT (-3.4094906919956811, 'has_animated_gif')
HRT (-3.103015280722071, 'has_photo')
HRT (-1.7306730347660666, 'has_video')
HRT (-0.091517586975433052, 'has_hashtag')
LRT (0.22236565105359288, 'has_url')
