Wed Jul 29 10:14:24 +0000 2015,http://t.co/QQC0gKbEGs lfaddeeva1: What does #Pluto and beer have in common? They both love us #PlutoFlyby http://t.co/nEpybyn5dX,1,0
Wed Jul 29 10:11:12 +0000 2015,"#Pluto #sextile #Deucalion: Wednesday, 29.07.2015, 10h16m35.60s UT at 13°42'47.2''r #Capricorn - 13°42'47.2''d #Scorpio #astrology",0,0
Wed Jul 29 10:11:12 +0000 2015,"#Pluto #trine #Osc. apogee: Wednesday, 29.07.2015, 19h38m07.65s UT at 13°42'15.6''r #Capricorn - 13°42'15.7''r #Virgo #astrology",0,0
Wed Jul 29 10:11:07 +0000 2015,"#Mercury #inconjunct #Pluto: Thursday, 30.07.2015, 03h19m35.29s UT at 13°41'49.8''d #Leo - 13°41'49.8''r #Capricorn #astrology",0,0
Wed Jul 29 10:10:57 +0000 2015,"#Moon #conjunct #Pluto: Wednesday, 29.07.2015, 18h21m54.09s UT at 13°42'19.9''d #Capricorn - 13°42'19.9''r #Capricorn #astrology",0,0
Wed Jul 29 10:10:20 +0000 2015,"Ecliptical (tropical, geocentric) longitude for #Pluto as of 10h05m02s UT is 13°42'48''r #Capricorn #astrology #astronomy",0,0
Wed Jul 29 10:10:06 +0000 2015,"Why Pluto Lacks Craters, and Why That's So Freakishly Weird
#space #pluto #newhorizons http://t.co/gbmXIOQEKb",0,0
Wed Jul 29 10:05:36 +0000 2015,"http://t.co/BhsrX1bRrM Freed: Boot out Greece, but keep Pluto #pluto",0,0
Wed Jul 29 10:03:10 +0000 2015,"#Pluto is now (09h58m02s UT) setting at 13°42'48.4'' #Capricorn opposite #ascendant at Lima, PE",0,0
Wed Jul 29 10:03:06 +0000 2015,"#Pluto is now (09h58m02s UT) setting at 13°42'48.4'' #Capricorn opposite #ascendant at Dallas, USTX",0,0
Wed Jul 29 10:03:03 +0000 2015,"#Pluto is now (09h58m02s UT) setting at 13°42'48.4'' #Capricorn opposite #ascendant at Houston, USTX",0,0
Wed Jul 29 09:58:35 +0000 2015,"Don't worry, baby. It's all you now &lt;3
#PlutoFlyby #Pluto @NASANewHorizons @plutotoday #space #astro http://t.co/wPOZ4Iwm4o",0,0
Wed Jul 29 09:47:02 +0000 2015,"RT @ScotsMagazine: The first photo of the moon was taken by a Scot in 1868, paving the way for the fascinating images of #Pluto today! http…",3,0
Wed Jul 29 09:44:03 +0000 2015,"RT @ScotsMagazine: The first photo of the moon was taken by a Scot in 1868, paving the way for the fascinating images of #Pluto today! http…",3,0
Wed Jul 29 09:43:13 +0000 2015,RT @EuroGeosciences: #Pluto's flowing ice &amp; mysterious red haze - 'a scientific wonderland'. @guardianscience http://t.co/7J5dIpSddo http:/…,5,0
Wed Jul 29 09:39:12 +0000 2015,Solar System Exploration: Multimedia: Gallery: Planetary Images: Approaching #Pluto: http://t.co/5FzWQ9vXU5,0,0
Wed Jul 29 09:38:24 +0000 2015,"RT @NasaInArabic: #بلوتو مشاهد لبلوتو على مر عدة سنين
التفاصيل: https://t.co/GAhMZqPIOc
#pluto #نيوهورايزنز http://t.co/4OGK6BBzMv",3,0
Wed Jul 29 09:37:15 +0000 2015,RT @spaceanswers: #NEWS: New Horizons Update: Atmospheric haze &amp; flowing ice found on #Pluto: http://t.co/pjdB2D12op @NewHorizons2015 http:…,67,0
Wed Jul 29 09:36:34 +0000 2015,This personification of #Pluto makes me feel more sorry for it than most people. What does this say about me??,0,0
Wed Jul 29 09:33:16 +0000 2015,RT @dborgo: First high res images of #pluto causes concern http://t.co/EHclse9yiq,7,0
Wed Jul 29 09:33:03 +0000 2015,"#Pluto is now (09h28m01s UT) setting at 13°42'50.1'' #Capricorn opposite #ascendant at BuenosAires, RA",0,0
Wed Jul 29 09:32:49 +0000 2015,"RT: acmc_clock_asia: #Pluto is now (09h28m01s UT) rising at 13°42'50.1'' #Capricorn conjunct #ascendant at HongKong, HKG …",0,0
Wed Jul 29 09:32:49 +0000 2015,5 things we have learned from New Horizon’s #Pluto flyby http://t.co/yzDS9R3ZmZ,0,0
Wed Jul 29 09:32:38 +0000 2015,RT: 3nilorak: RT tarteur: (Re)Découverte de #Pluto ! http://t.co/eFh19YnH4v http://t.co/ZZKNaqJCOe #TB #Tapibook,0,0
Wed Jul 29 09:32:37 +0000 2015,RT: naosuke926: RT NASAArmstrong: Watch as the SOFIAtelescope chases Pluto's shadow to collect data for NASANewHorizons! #NASABeyond #Pluto…,0,0
Wed Jul 29 09:32:05 +0000 2015,"#Pluto is now (09h28m01s UT) rising at 13°42'50.1'' #Capricorn conjunct #ascendant at HongKong, HKG",0,0
Wed Jul 29 09:29:01 +0000 2015,RT @tarteur: (Re)Découverte de #Pluto ! http://t.co/S0Dyq1RK0O,5,0
Wed Jul 29 09:28:18 +0000 2015,RT @dborgo: First high res images of #pluto causes concern http://t.co/EHclse9yiq,7,0
Wed Jul 29 09:27:07 +0000 2015,"I was wondering how #horizon got light to photograph #pluto. For those who wonder ""light"" me: http://t.co/Nb8CwmBo4i",0,0
Wed Jul 29 09:16:03 +0000 2015,RT @lfaddeeva1: What does #Pluto and beer have in common? They both love us #PlutoFlyby http://t.co/tNvFyLgrEh,1,0
Wed Jul 29 09:12:28 +0000 2015,What does #Pluto and beer have in common? They both love us #PlutoFlyby http://t.co/tNvFyLgrEh,1,0
Wed Jul 29 09:11:58 +0000 2015,@elakdawalla Any news regarding next #Pluto press conference/update?,0,0
Wed Jul 29 09:07:07 +0000 2015,"RT @kennicosmith: Dinner conversation epic. What amazes me is that this world #Pluto - so rich in many science disciplines-surfaces, atmosp…",6,0
