NASA,Thu Jul 30 22:05:12 +0000 2015,"Have you ever caught a glimpse of a comet? Well our SOHO Observatory has spotted almost 3000! http://t.co/8FTVqkTY3U
https://t.co/HNgrIsowmM",11523843,236,570,768
NASA,Thu Jul 30 21:28:26 +0000 2015,California's “rain debt” is equal to average full year of precipitation—20 inches—says study: http://t.co/6EpQWDlRP3 http://t.co/pzmvgJuGYF,11523843,236,456,458
NASA,Thu Jul 30 20:35:20 +0000 2015,"What’s shaping Pluto’s surface? The @NASANewHorizons #PlutoFlyby gave us a better idea. Watch Pluto in a Minute:
https://t.co/U8vH9iPMCU",11523843,236,568,897
NASA,Thu Jul 30 19:40:01 +0000 2015,DISCOVERY: Closest known rocky planet outside our solar system-21 light-yrs away http://t.co/wc5aH2AJJD  @NASAspitzer http://t.co/MK5uPyd79G,11523843,236,1221,1675
NASA,Thu Jul 30 17:58:16 +0000 2015,"Stars aligned, giving a better view of a Uranus-sized planet found orbiting a distant star: http://t.co/o7IwudIpaA
https://t.co/AunllPM5kZ",11523843,236,448,695
neiltyson,Thu Jul 30 15:55:19 +0000 2015,"Okay with female deers &amp; drops of golden sun. But always felt that ""La"" deserved a better identity than ""a note to follow So”",4033711,44,2389,4874
neiltyson,Wed Jul 29 21:30:16 +0000 2015,Yup. Werewolves and other Luna-tics just love months with double Full Moons.,4033711,44,1239,2934
neiltyson,Wed Jul 29 21:23:03 +0000 2015,"Average cycle of Lunar phases is 29.5 days. So everybody except February can get a 2nd Full Moon. Happens every 2.5yrs, or so",4033711,44,1080,2183
neiltyson,Wed Jul 29 21:11:28 +0000 2015,"Full Moon Friday. The second in July. For bad historical reasons we call it a ""Blue Moon”. It’s not Blue. It’s not even rare.",4033711,44,3088,4690
neiltyson,Wed Jul 29 13:46:17 +0000 2015,POSTED: @StarTalkRadio Explores Science &amp; Religion with @RichardDawkins &amp; Jesuit Priest @JamesMartinSJ http://t.co/0ZixGcZ1AP,4033711,44,363,937
