Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Thanks for visiting @shelleywaldock - glad enjoyed Ecologic. Plenty of follow up info is here: http://t.co/nbT3DXJlil	HER	has_no_media	96.69	70.08	50.35	99.00	9.50	26.32	15.79	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
Here is the 'Final Festival' Strictly Ballroom bolero jacket we are getting ready to show in a new… http://t.co/UV8sVWZpcK	HER	has_no_media	92.84	80.77	9.25	99.00	23.00	21.74	8.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00
Meccano orrery for Earth Hour: http://t.co/a9z1hfRsbI	LER	has_no_media	98.46	50.00	43.37	25.77	10.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
@lachlanhardy Indeed! We will fix. Thanks for the heads up.	LER	has_no_media	92.84	97.69	3.37	99.00	3.33	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	10.00
You're welcome @lachlanhardy - you have probably guessed our third party ticket sales system is iFramed into that page. We need to add SSL.	HER	has_no_media	23.89	99.00	1.00	99.00	11.50	21.74	8.70	0.00	0.00	0.00	0.00	0.00	0.00	4.35	8.70	0.00	0.00	0.00	0.00	0.00	17.39	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Hi @lachlanhardy  thanks for the heads up. We will fix that. In the mean time you can go here to book securely: https://t.co/ZFQByeiqhX	HER	has_no_media	92.84	96.78	33.94	99.00	9.00	11.11	7.41	0.00	0.00	0.00	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	3.70	0.00	3.70	0.00	3.70	0.00	0.00	0.00	0.00	0.00
Cockatoo Island  from industry to art    http://t.co/GJzDTurGLM	HER	has_no_media	99.00	50.00	1.00	25.77	11.00	27.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00
Today we've had Administrator Bolden from NASA visiting the Mars Yard commissioning two new rovers for… http://t.co/VE4wjdmruX	HER	has_no_media	92.84	92.33	13.15	25.77	21.00	19.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	4.76	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00
We are preparing to celebrate the sequinned splendour of Strictly Ballroom stage and screen in a new… http://t.co/sBDiTKMW4P	HER	has_no_media	98.22	91.35	2.40	25.77	22.00	31.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	9.09	4.55	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Max Dupain and Chris Vandyke: http://t.co/tnYx91KjdI	HER	has_no_media	77.33	50.00	1.00	25.77	10.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00
